[2025-01-29 13:09:32,995][__main__][INFO] - In total, there are 1229 possible subgroups
[2025-01-29 13:09:33,025][__main__][INFO] - [0], []
[2025-01-29 13:09:33,214][__main__][INFO] - [1], []
[2025-01-29 13:09:33,452][__main__][INFO] - [2], []
[2025-01-29 13:09:33,674][__main__][INFO] - [3], []
[2025-01-29 13:09:33,850][__main__][INFO] - [4], []
[2025-01-29 13:09:34,073][__main__][INFO] - [5], []
[2025-01-29 13:09:34,265][__main__][INFO] - [6], []
[2025-01-29 13:09:34,349][__main__][INFO] - [7], []
[2025-01-29 13:09:34,387][__main__][INFO] - [8], []
[2025-01-29 13:09:34,409][__main__][INFO] - [9], []
[2025-01-29 13:09:34,427][__main__][INFO] - [10], []
[2025-01-29 13:09:35,304][__main__][INFO] - [11], []
[2025-01-29 13:09:35,347][__main__][INFO] - [12], []
[2025-01-29 13:09:35,505][__main__][INFO] - [13], []
[2025-01-29 13:09:35,529][__main__][INFO] - [14], []
[2025-01-29 13:09:35,552][__main__][INFO] - [15], []
[2025-01-29 13:09:35,760][__main__][INFO] - [16], []
[2025-01-29 13:09:36,461][__main__][INFO] - [], [16]
[2025-01-29 13:09:37,236][__main__][INFO] - [17], []
[2025-01-29 13:09:37,397][__main__][INFO] - [18], []
[2025-01-29 13:09:38,301][__main__][INFO] - [19], []
[2025-01-29 13:09:38,370][__main__][INFO] - [20], []
[2025-01-29 13:09:38,435][__main__][INFO] - [21], []
[2025-01-29 13:09:38,462][__main__][INFO] - [22], []
[2025-01-29 13:09:38,487][__main__][INFO] - [23], []
[2025-01-29 13:09:38,714][__main__][INFO] - [24], []
[2025-01-29 13:09:38,737][__main__][INFO] - [25], []
[2025-01-29 13:09:38,792][__main__][INFO] - [0, 10], []
[2025-01-29 13:09:38,983][__main__][INFO] - [0, 11], []
[2025-01-29 13:09:39,007][__main__][INFO] - [0, 12], []
[2025-01-29 13:09:39,037][__main__][INFO] - [0, 13], []
[2025-01-29 13:09:39,063][__main__][INFO] - [0, 14], []
[2025-01-29 13:09:39,086][__main__][INFO] - [0, 15], []
[2025-01-29 13:09:39,117][__main__][INFO] - [0, 16], []
[2025-01-29 13:09:39,226][__main__][INFO] - [0], [16]
[2025-01-29 13:09:39,340][__main__][INFO] - [0, 17], []
[2025-01-29 13:09:39,385][__main__][INFO] - [0, 18], []
[2025-01-29 13:09:39,514][__main__][INFO] - [0, 19], []
[2025-01-29 13:09:39,548][__main__][INFO] - [0, 20], []
[2025-01-29 13:09:39,577][__main__][INFO] - [0, 21], []
[2025-01-29 13:09:39,600][__main__][INFO] - [0, 22], []
[2025-01-29 13:09:39,624][__main__][INFO] - [0, 23], []
[2025-01-29 13:09:39,664][__main__][INFO] - [0, 24], []
[2025-01-29 13:09:39,721][__main__][INFO] - [1, 10], []
[2025-01-29 13:09:39,943][__main__][INFO] - [1, 11], []
[2025-01-29 13:09:39,970][__main__][INFO] - [1, 12], []
[2025-01-29 13:09:40,011][__main__][INFO] - [1, 13], []
[2025-01-29 13:09:40,034][__main__][INFO] - [1, 14], []
[2025-01-29 13:09:40,057][__main__][INFO] - [1, 15], []
[2025-01-29 13:09:40,101][__main__][INFO] - [1, 16], []
[2025-01-29 13:09:40,235][__main__][INFO] - [1], [16]
[2025-01-29 13:09:40,382][__main__][INFO] - [1, 17], []
[2025-01-29 13:09:40,432][__main__][INFO] - [1, 18], []
[2025-01-29 13:09:40,596][__main__][INFO] - [1, 19], []
[2025-01-29 13:09:40,630][__main__][INFO] - [1, 20], []
[2025-01-29 13:09:40,660][__main__][INFO] - [1, 21], []
[2025-01-29 13:09:40,683][__main__][INFO] - [1, 22], []
[2025-01-29 13:09:40,706][__main__][INFO] - [1, 23], []
[2025-01-29 13:09:40,762][__main__][INFO] - [1, 24], []
[2025-01-29 13:09:40,820][__main__][INFO] - [2, 10], []
[2025-01-29 13:09:40,998][__main__][INFO] - [2, 11], []
[2025-01-29 13:09:41,027][__main__][INFO] - [2, 12], []
[2025-01-29 13:09:41,075][__main__][INFO] - [2, 13], []
[2025-01-29 13:09:41,100][__main__][INFO] - [2, 14], []
[2025-01-29 13:09:41,123][__main__][INFO] - [2, 15], []
[2025-01-29 13:09:41,181][__main__][INFO] - [2, 16], []
[2025-01-29 13:09:41,304][__main__][INFO] - [2], [16]
[2025-01-29 13:09:41,447][__main__][INFO] - [2, 17], []
[2025-01-29 13:09:41,493][__main__][INFO] - [2, 18], []
[2025-01-29 13:09:41,652][__main__][INFO] - [2, 19], []
[2025-01-29 13:09:41,681][__main__][INFO] - [2, 20], []
[2025-01-29 13:09:41,711][__main__][INFO] - [2, 21], []
[2025-01-29 13:09:41,735][__main__][INFO] - [2, 22], []
[2025-01-29 13:09:41,758][__main__][INFO] - [2, 23], []
[2025-01-29 13:09:41,814][__main__][INFO] - [2, 24], []
[2025-01-29 13:09:41,870][__main__][INFO] - [3, 10], []
[2025-01-29 13:09:41,996][__main__][INFO] - [3, 11], []
[2025-01-29 13:09:42,023][__main__][INFO] - [3, 12], []
[2025-01-29 13:09:42,074][__main__][INFO] - [3, 13], []
[2025-01-29 13:09:42,097][__main__][INFO] - [3, 14], []
[2025-01-29 13:09:42,120][__main__][INFO] - [3, 15], []
[2025-01-29 13:09:42,177][__main__][INFO] - [3, 16], []
[2025-01-29 13:09:42,280][__main__][INFO] - [3], [16]
[2025-01-29 13:09:42,395][__main__][INFO] - [3, 17], []
[2025-01-29 13:09:42,437][__main__][INFO] - [3, 18], []
[2025-01-29 13:09:42,563][__main__][INFO] - [3, 19], []
[2025-01-29 13:09:42,590][__main__][INFO] - [3, 20], []
[2025-01-29 13:09:42,618][__main__][INFO] - [3, 21], []
[2025-01-29 13:09:42,642][__main__][INFO] - [3, 22], []
[2025-01-29 13:09:42,665][__main__][INFO] - [3, 23], []
[2025-01-29 13:09:42,717][__main__][INFO] - [3, 24], []
[2025-01-29 13:09:42,775][__main__][INFO] - [4, 10], []
[2025-01-29 13:09:42,931][__main__][INFO] - [4, 11], []
[2025-01-29 13:09:42,959][__main__][INFO] - [4, 12], []
[2025-01-29 13:09:43,016][__main__][INFO] - [4, 13], []
[2025-01-29 13:09:43,039][__main__][INFO] - [4, 14], []
[2025-01-29 13:09:43,063][__main__][INFO] - [4, 15], []
[2025-01-29 13:09:43,131][__main__][INFO] - [4, 16], []
[2025-01-29 13:09:43,256][__main__][INFO] - [4], [16]
[2025-01-29 13:09:43,395][__main__][INFO] - [4, 17], []
[2025-01-29 13:09:43,439][__main__][INFO] - [4, 18], []
[2025-01-29 13:09:43,604][__main__][INFO] - [4, 19], []
[2025-01-29 13:09:43,631][__main__][INFO] - [4, 20], []
[2025-01-29 13:09:43,663][__main__][INFO] - [4, 21], []
[2025-01-29 13:09:43,686][__main__][INFO] - [4, 22], []
[2025-01-29 13:09:43,710][__main__][INFO] - [4, 23], []
