[2025-01-29 13:39:10,267][__main__][INFO] - In total, there are 47339 possible subgroups
[2025-01-29 13:39:10,299][__main__][INFO] - [0], []
[2025-01-29 13:39:10,562][__main__][INFO] - [1], []
[2025-01-29 13:39:10,958][__main__][INFO] - [2], []
[2025-01-29 13:39:11,366][__main__][INFO] - [3], []
[2025-01-29 13:39:11,711][__main__][INFO] - [4], []
[2025-01-29 13:39:12,097][__main__][INFO] - [5], []
[2025-01-29 13:39:12,442][__main__][INFO] - [6], []
[2025-01-29 13:39:12,596][__main__][INFO] - [7], []
[2025-01-29 13:39:12,657][__main__][INFO] - [8], []
[2025-01-29 13:39:12,685][__main__][INFO] - [9], []
[2025-01-29 13:39:12,704][__main__][INFO] - [10], []
[2025-01-29 13:39:14,785][__main__][INFO] - [], [10]
[2025-01-29 13:39:16,971][__main__][INFO] - [11], []
[2025-01-29 13:39:17,472][__main__][INFO] - [], [11]
[2025-01-29 13:39:21,898][__main__][INFO] - [12], []
[2025-01-29 13:39:23,154][__main__][INFO] - [13], []
[2025-01-29 13:39:23,302][__main__][INFO] - [14], []
[2025-01-29 13:39:23,463][__main__][INFO] - [15], []
[2025-01-29 13:39:23,882][__main__][INFO] - [16], []
[2025-01-29 13:39:23,928][__main__][INFO] - [17], []
[2025-01-29 13:39:24,270][__main__][INFO] - [18], []
[2025-01-29 13:39:24,301][__main__][INFO] - [19], []
[2025-01-29 13:39:24,351][__main__][INFO] - [21], []
[2025-01-29 13:39:26,118][__main__][INFO] - [22], []
[2025-01-29 13:39:26,601][__main__][INFO] - [23], []
[2025-01-29 13:39:27,225][__main__][INFO] - [24], []
[2025-01-29 13:39:27,313][__main__][INFO] - [25], []
[2025-01-29 13:39:27,345][__main__][INFO] - [26], []
[2025-01-29 13:39:27,412][__main__][INFO] - [27], []
[2025-01-29 13:39:27,503][__main__][INFO] - [28], []
[2025-01-29 13:39:27,624][__main__][INFO] - [29], []
[2025-01-29 13:39:27,768][__main__][INFO] - [30], []
[2025-01-29 13:39:27,914][__main__][INFO] - [31], []
[2025-01-29 13:39:28,052][__main__][INFO] - [32], []
[2025-01-29 13:39:28,192][__main__][INFO] - [33], []
[2025-01-29 13:39:28,329][__main__][INFO] - [34], []
[2025-01-29 13:39:28,447][__main__][INFO] - [35], []
[2025-01-29 13:39:29,269][__main__][INFO] - [0, 10], []
[2025-01-29 13:39:29,384][__main__][INFO] - [0], [10]
[2025-01-29 13:39:29,497][__main__][INFO] - [0, 11], []
[2025-01-29 13:39:29,527][__main__][INFO] - [0], [11]
[2025-01-29 13:39:29,738][__main__][INFO] - [0, 12], []
[2025-01-29 13:39:29,846][__main__][INFO] - [0, 13], []
[2025-01-29 13:39:29,872][__main__][INFO] - [0, 14], []
[2025-01-29 13:39:29,903][__main__][INFO] - [0, 15], []
[2025-01-29 13:39:29,942][__main__][INFO] - [0, 16], []
[2025-01-29 13:39:29,963][__main__][INFO] - [0, 17], []
[2025-01-29 13:39:30,007][__main__][INFO] - [0, 18], []
[2025-01-29 13:39:30,030][__main__][INFO] - [0, 19], []
[2025-01-29 13:39:30,065][__main__][INFO] - [0, 21], []
[2025-01-29 13:39:30,224][__main__][INFO] - [0, 22], []
[2025-01-29 13:39:30,259][__main__][INFO] - [0, 23], []
[2025-01-29 13:39:30,288][__main__][INFO] - [0, 24], []
[2025-01-29 13:39:30,312][__main__][INFO] - [0, 25], []
[2025-01-29 13:39:30,334][__main__][INFO] - [0, 26], []
[2025-01-29 13:39:30,364][__main__][INFO] - [0, 27], []
[2025-01-29 13:39:30,391][__main__][INFO] - [0, 28], []
[2025-01-29 13:39:30,420][__main__][INFO] - [0, 29], []
[2025-01-29 13:39:30,452][__main__][INFO] - [0, 30], []
[2025-01-29 13:39:30,482][__main__][INFO] - [0, 31], []
[2025-01-29 13:39:30,511][__main__][INFO] - [0, 32], []
[2025-01-29 13:39:30,538][__main__][INFO] - [0, 33], []
[2025-01-29 13:39:30,565][__main__][INFO] - [0, 34], []
[2025-01-29 13:39:30,590][__main__][INFO] - [0, 35], []
[2025-01-29 13:39:30,657][__main__][INFO] - [1, 10], []
[2025-01-29 13:39:30,816][__main__][INFO] - [1], [10]
[2025-01-29 13:39:30,991][__main__][INFO] - [1, 11], []
[2025-01-29 13:39:31,024][__main__][INFO] - [1], [11]
[2025-01-29 13:39:31,347][__main__][INFO] - [1, 12], []
[2025-01-29 13:39:31,515][__main__][INFO] - [1, 13], []
[2025-01-29 13:39:31,544][__main__][INFO] - [1, 14], []
[2025-01-29 13:39:31,578][__main__][INFO] - [1, 15], []
[2025-01-29 13:39:31,638][__main__][INFO] - [1, 16], []
[2025-01-29 13:39:31,659][__main__][INFO] - [1, 17], []
[2025-01-29 13:39:31,712][__main__][INFO] - [1, 18], []
