[2025-01-29 23:41:11,057][__main__][INFO] - In total, there are 1229 possible subgroups
[2025-01-29 23:41:11,086][__main__][INFO] - [0], []
[2025-01-29 23:41:11,112][__main__][INFO] - [1], []
[2025-01-29 23:41:11,134][__main__][INFO] - [2], []
[2025-01-29 23:41:11,157][__main__][INFO] - [3], []
[2025-01-29 23:41:11,179][__main__][INFO] - [4], []
[2025-01-29 23:41:11,201][__main__][INFO] - [5], []
[2025-01-29 23:41:11,223][__main__][INFO] - [6], []
[2025-01-29 23:41:11,243][__main__][INFO] - [7], []
[2025-01-29 23:41:11,263][__main__][INFO] - [8], []
[2025-01-29 23:41:11,283][__main__][INFO] - [9], []
[2025-01-29 23:41:11,302][__main__][INFO] - [10], []
[2025-01-29 23:41:11,328][__main__][INFO] - [11], []
[2025-01-29 23:41:11,348][__main__][INFO] - [12], []
[2025-01-29 23:41:11,370][__main__][INFO] - [13], []
[2025-01-29 23:41:11,389][__main__][INFO] - [14], []
[2025-01-29 23:41:11,409][__main__][INFO] - [15], []
[2025-01-29 23:41:11,431][__main__][INFO] - [16], []
[2025-01-29 23:41:11,456][__main__][INFO] - [], [16]
[2025-01-29 23:41:11,482][__main__][INFO] - [17], []
[2025-01-29 23:41:11,504][__main__][INFO] - [18], []
[2025-01-29 23:41:11,530][__main__][INFO] - [19], []
[2025-01-29 23:41:11,551][__main__][INFO] - [20], []
[2025-01-29 23:41:11,571][__main__][INFO] - [21], []
[2025-01-29 23:41:11,590][__main__][INFO] - [22], []
[2025-01-29 23:41:11,610][__main__][INFO] - [23], []
[2025-01-29 23:41:11,632][__main__][INFO] - [24], []
[2025-01-29 23:41:11,651][__main__][INFO] - [25], []
[2025-01-29 23:41:11,700][__main__][INFO] - [0, 10], []
[2025-01-29 23:41:11,724][__main__][INFO] - [0, 11], []
[2025-01-29 23:41:11,746][__main__][INFO] - [0, 12], []
[2025-01-29 23:41:11,769][__main__][INFO] - [0, 13], []
[2025-01-29 23:41:11,791][__main__][INFO] - [0, 14], []
[2025-01-29 23:41:11,813][__main__][INFO] - [0, 15], []
[2025-01-29 23:41:11,836][__main__][INFO] - [0, 16], []
[2025-01-29 23:41:11,859][__main__][INFO] - [0], [16]
[2025-01-29 23:41:11,882][__main__][INFO] - [0, 17], []
[2025-01-29 23:41:11,905][__main__][INFO] - [0, 18], []
[2025-01-29 23:41:11,929][__main__][INFO] - [0, 19], []
[2025-01-29 23:41:11,951][__main__][INFO] - [0, 20], []
[2025-01-29 23:41:11,973][__main__][INFO] - [0, 21], []
[2025-01-29 23:41:11,996][__main__][INFO] - [0, 22], []
[2025-01-29 23:41:12,018][__main__][INFO] - [0, 23], []
[2025-01-29 23:41:12,040][__main__][INFO] - [0, 24], []
[2025-01-29 23:41:12,090][__main__][INFO] - [1, 10], []
[2025-01-29 23:41:12,115][__main__][INFO] - [1, 11], []
[2025-01-29 23:41:12,137][__main__][INFO] - [1, 12], []
[2025-01-29 23:41:12,160][__main__][INFO] - [1, 13], []
[2025-01-29 23:41:12,182][__main__][INFO] - [1, 14], []
[2025-01-29 23:41:12,205][__main__][INFO] - [1, 15], []
[2025-01-29 23:41:12,227][__main__][INFO] - [1, 16], []
[2025-01-29 23:41:12,251][__main__][INFO] - [1], [16]
[2025-01-29 23:41:12,275][__main__][INFO] - [1, 17], []
[2025-01-29 23:41:12,298][__main__][INFO] - [1, 18], []
[2025-01-29 23:41:12,322][__main__][INFO] - [1, 19], []
[2025-01-29 23:41:12,344][__main__][INFO] - [1, 20], []
[2025-01-29 23:41:12,366][__main__][INFO] - [1, 21], []
[2025-01-29 23:41:12,389][__main__][INFO] - [1, 22], []
[2025-01-29 23:41:12,411][__main__][INFO] - [1, 23], []
[2025-01-29 23:41:12,433][__main__][INFO] - [1, 24], []
[2025-01-29 23:41:12,484][__main__][INFO] - [2, 10], []
[2025-01-29 23:41:12,508][__main__][INFO] - [2, 11], []
[2025-01-29 23:41:12,531][__main__][INFO] - [2, 12], []
[2025-01-29 23:41:12,553][__main__][INFO] - [2, 13], []
[2025-01-29 23:41:12,576][__main__][INFO] - [2, 14], []
[2025-01-29 23:41:12,598][__main__][INFO] - [2, 15], []
[2025-01-29 23:41:12,621][__main__][INFO] - [2, 16], []
[2025-01-29 23:41:12,645][__main__][INFO] - [2], [16]
[2025-01-29 23:41:12,669][__main__][INFO] - [2, 17], []
[2025-01-29 23:41:12,692][__main__][INFO] - [2, 18], []
[2025-01-29 23:41:12,716][__main__][INFO] - [2, 19], []
[2025-01-29 23:41:12,739][__main__][INFO] - [2, 20], []
[2025-01-29 23:41:12,761][__main__][INFO] - [2, 21], []
[2025-01-29 23:41:12,784][__main__][INFO] - [2, 22], []
[2025-01-29 23:41:12,806][__main__][INFO] - [2, 23], []
[2025-01-29 23:41:12,829][__main__][INFO] - [2, 24], []
[2025-01-29 23:41:12,880][__main__][INFO] - [3, 10], []
[2025-01-29 23:41:12,904][__main__][INFO] - [3, 11], []
[2025-01-29 23:41:12,926][__main__][INFO] - [3, 12], []
[2025-01-29 23:41:12,949][__main__][INFO] - [3, 13], []
[2025-01-29 23:41:12,971][__main__][INFO] - [3, 14], []
[2025-01-29 23:41:12,994][__main__][INFO] - [3, 15], []
[2025-01-29 23:41:13,016][__main__][INFO] - [3, 16], []
[2025-01-29 23:41:13,040][__main__][INFO] - [3], [16]
[2025-01-29 23:41:13,064][__main__][INFO] - [3, 17], []
[2025-01-29 23:41:13,086][__main__][INFO] - [3, 18], []
[2025-01-29 23:41:13,110][__main__][INFO] - [3, 19], []
[2025-01-29 23:41:13,132][__main__][INFO] - [3, 20], []
[2025-01-29 23:41:13,155][__main__][INFO] - [3, 21], []
[2025-01-29 23:41:13,177][__main__][INFO] - [3, 22], []
[2025-01-29 23:41:13,199][__main__][INFO] - [3, 23], []
[2025-01-29 23:41:13,222][__main__][INFO] - [3, 24], []
[2025-01-29 23:41:13,273][__main__][INFO] - [4, 10], []
[2025-01-29 23:41:13,297][__main__][INFO] - [4, 11], []
[2025-01-29 23:41:13,320][__main__][INFO] - [4, 12], []
[2025-01-29 23:41:13,343][__main__][INFO] - [4, 13], []
[2025-01-29 23:41:13,365][__main__][INFO] - [4, 14], []
[2025-01-29 23:41:13,387][__main__][INFO] - [4, 15], []
[2025-01-29 23:41:13,410][__main__][INFO] - [4, 16], []
[2025-01-29 23:41:13,434][__main__][INFO] - [4], [16]
[2025-01-29 23:41:13,458][__main__][INFO] - [4, 17], []
[2025-01-29 23:41:13,480][__main__][INFO] - [4, 18], []
[2025-01-29 23:41:13,505][__main__][INFO] - [4, 19], []
[2025-01-29 23:41:13,527][__main__][INFO] - [4, 20], []
[2025-01-29 23:41:13,549][__main__][INFO] - [4, 21], []
[2025-01-29 23:41:13,571][__main__][INFO] - [4, 22], []
[2025-01-29 23:41:13,594][__main__][INFO] - [4, 23], []
[2025-01-29 23:41:13,617][__main__][INFO] - [4, 24], []
[2025-01-29 23:41:13,668][__main__][INFO] - [5, 10], []
[2025-01-29 23:41:13,692][__main__][INFO] - [5, 11], []
[2025-01-29 23:41:13,715][__main__][INFO] - [5, 12], []
[2025-01-29 23:41:13,737][__main__][INFO] - [5, 13], []
[2025-01-29 23:41:13,760][__main__][INFO] - [5, 14], []
[2025-01-29 23:41:13,782][__main__][INFO] - [5, 15], []
[2025-01-29 23:41:13,805][__main__][INFO] - [5, 16], []
[2025-01-29 23:41:13,828][__main__][INFO] - [5], [16]
[2025-01-29 23:41:13,852][__main__][INFO] - [5, 17], []
[2025-01-29 23:41:13,874][__main__][INFO] - [5, 18], []
[2025-01-29 23:41:13,899][__main__][INFO] - [5, 19], []
[2025-01-29 23:41:13,921][__main__][INFO] - [5, 20], []
[2025-01-29 23:41:13,943][__main__][INFO] - [5, 21], []
[2025-01-29 23:41:13,966][__main__][INFO] - [5, 22], []
[2025-01-29 23:41:13,988][__main__][INFO] - [5, 23], []
[2025-01-29 23:41:14,011][__main__][INFO] - [5, 24], []
[2025-01-29 23:41:14,062][__main__][INFO] - [6, 10], []
[2025-01-29 23:41:14,085][__main__][INFO] - [6, 11], []
[2025-01-29 23:41:14,108][__main__][INFO] - [6, 12], []
[2025-01-29 23:41:14,130][__main__][INFO] - [6, 13], []
[2025-01-29 23:41:14,152][__main__][INFO] - [6, 14], []
[2025-01-29 23:41:14,174][__main__][INFO] - [6, 15], []
[2025-01-29 23:41:14,197][__main__][INFO] - [6, 16], []
[2025-01-29 23:41:14,220][__main__][INFO] - [6], [16]
[2025-01-29 23:41:14,243][__main__][INFO] - [6, 17], []
[2025-01-29 23:41:14,265][__main__][INFO] - [6, 18], []
[2025-01-29 23:41:14,288][__main__][INFO] - [6, 19], []
[2025-01-29 23:41:14,310][__main__][INFO] - [6, 20], []
[2025-01-29 23:41:14,333][__main__][INFO] - [6, 21], []
[2025-01-29 23:41:14,355][__main__][INFO] - [6, 22], []
[2025-01-29 23:41:14,377][__main__][INFO] - [6, 23], []
[2025-01-29 23:41:14,400][__main__][INFO] - [6, 24], []
[2025-01-29 23:41:14,451][__main__][INFO] - [7, 10], []
[2025-01-29 23:41:14,473][__main__][INFO] - [7, 11], []
[2025-01-29 23:41:14,495][__main__][INFO] - [7, 12], []
[2025-01-29 23:41:14,518][__main__][INFO] - [7, 13], []
[2025-01-29 23:41:14,540][__main__][INFO] - [7, 14], []
[2025-01-29 23:41:14,562][__main__][INFO] - [7, 15], []
[2025-01-29 23:41:14,584][__main__][INFO] - [7, 16], []
[2025-01-29 23:41:14,606][__main__][INFO] - [7], [16]
[2025-01-29 23:41:14,629][__main__][INFO] - [7, 17], []
[2025-01-29 23:41:14,652][__main__][INFO] - [7, 18], []
[2025-01-29 23:41:14,675][__main__][INFO] - [7, 19], []
[2025-01-29 23:41:14,697][__main__][INFO] - [7, 20], []
[2025-01-29 23:41:14,719][__main__][INFO] - [7, 21], []
[2025-01-29 23:41:14,756][__main__][INFO] - [7, 23], []
[2025-01-29 23:41:14,822][__main__][INFO] - [8, 10], []
[2025-01-29 23:41:14,845][__main__][INFO] - [8, 11], []
[2025-01-29 23:41:14,867][__main__][INFO] - [8, 12], []
[2025-01-29 23:41:14,918][__main__][INFO] - [8, 15], []
[2025-01-29 23:41:14,940][__main__][INFO] - [8, 16], []
[2025-01-29 23:41:14,962][__main__][INFO] - [8], [16]
