[2025-01-30 00:10:15,936][__main__][INFO] - In total, there are 47339 possible subgroups
[2025-01-30 00:10:15,961][__main__][INFO] - [0], []
[2025-01-30 00:10:15,981][__main__][INFO] - [1], []
[2025-01-30 00:10:15,998][__main__][INFO] - [2], []
[2025-01-30 00:10:16,017][__main__][INFO] - [3], []
[2025-01-30 00:10:16,034][__main__][INFO] - [4], []
[2025-01-30 00:10:16,051][__main__][INFO] - [5], []
[2025-01-30 00:10:16,068][__main__][INFO] - [6], []
[2025-01-30 00:10:16,085][__main__][INFO] - [7], []
[2025-01-30 00:10:16,100][__main__][INFO] - [8], []
[2025-01-30 00:10:16,115][__main__][INFO] - [9], []
[2025-01-30 00:10:16,130][__main__][INFO] - [10], []
[2025-01-30 00:10:16,153][__main__][INFO] - [], [10]
[2025-01-30 00:10:16,175][__main__][INFO] - [11], []
[2025-01-30 00:10:16,191][__main__][INFO] - [], [11]
[2025-01-30 00:10:16,210][__main__][INFO] - [12], []
[2025-01-30 00:10:16,231][__main__][INFO] - [13], []
[2025-01-30 00:10:16,247][__main__][INFO] - [14], []
[2025-01-30 00:10:16,263][__main__][INFO] - [15], []
[2025-01-30 00:10:16,280][__main__][INFO] - [16], []
[2025-01-30 00:10:16,296][__main__][INFO] - [17], []
[2025-01-30 00:10:16,312][__main__][INFO] - [18], []
[2025-01-30 00:10:16,328][__main__][INFO] - [19], []
[2025-01-30 00:10:16,356][__main__][INFO] - [21], []
[2025-01-30 00:10:16,377][__main__][INFO] - [22], []
[2025-01-30 00:10:16,394][__main__][INFO] - [23], []
[2025-01-30 00:10:16,411][__main__][INFO] - [24], []
[2025-01-30 00:10:16,427][__main__][INFO] - [25], []
[2025-01-30 00:10:16,443][__main__][INFO] - [26], []
[2025-01-30 00:10:16,458][__main__][INFO] - [27], []
[2025-01-30 00:10:16,474][__main__][INFO] - [28], []
[2025-01-30 00:10:16,490][__main__][INFO] - [29], []
[2025-01-30 00:10:16,506][__main__][INFO] - [30], []
[2025-01-30 00:10:16,522][__main__][INFO] - [31], []
[2025-01-30 00:10:16,538][__main__][INFO] - [32], []
[2025-01-30 00:10:16,554][__main__][INFO] - [33], []
[2025-01-30 00:10:16,570][__main__][INFO] - [34], []
[2025-01-30 00:10:16,586][__main__][INFO] - [35], []
[2025-01-30 00:10:16,633][__main__][INFO] - [0, 10], []
[2025-01-30 00:10:16,650][__main__][INFO] - [0], [10]
[2025-01-30 00:10:16,667][__main__][INFO] - [0, 11], []
[2025-01-30 00:10:16,683][__main__][INFO] - [0], [11]
[2025-01-30 00:10:16,701][__main__][INFO] - [0, 12], []
[2025-01-30 00:10:16,718][__main__][INFO] - [0, 13], []
[2025-01-30 00:10:16,735][__main__][INFO] - [0, 14], []
[2025-01-30 00:10:16,751][__main__][INFO] - [0, 15], []
[2025-01-30 00:10:16,767][__main__][INFO] - [0, 16], []
[2025-01-30 00:10:16,783][__main__][INFO] - [0, 17], []
[2025-01-30 00:10:16,799][__main__][INFO] - [0, 18], []
[2025-01-30 00:10:16,815][__main__][INFO] - [0, 19], []
[2025-01-30 00:10:16,843][__main__][INFO] - [0, 21], []
[2025-01-30 00:10:16,861][__main__][INFO] - [0, 22], []
[2025-01-30 00:10:16,877][__main__][INFO] - [0, 23], []
[2025-01-30 00:10:16,893][__main__][INFO] - [0, 24], []
[2025-01-30 00:10:16,910][__main__][INFO] - [0, 25], []
[2025-01-30 00:10:16,926][__main__][INFO] - [0, 26], []
[2025-01-30 00:10:16,943][__main__][INFO] - [0, 27], []
[2025-01-30 00:10:16,959][__main__][INFO] - [0, 28], []
[2025-01-30 00:10:16,976][__main__][INFO] - [0, 29], []
[2025-01-30 00:10:16,992][__main__][INFO] - [0, 30], []
[2025-01-30 00:10:17,008][__main__][INFO] - [0, 31], []
[2025-01-30 00:10:17,023][__main__][INFO] - [0, 32], []
[2025-01-30 00:10:17,039][__main__][INFO] - [0, 33], []
[2025-01-30 00:10:17,055][__main__][INFO] - [0, 34], []
[2025-01-30 00:10:17,071][__main__][INFO] - [0, 35], []
[2025-01-30 00:10:17,100][__main__][INFO] - [1, 10], []
[2025-01-30 00:10:17,118][__main__][INFO] - [1], [10]
[2025-01-30 00:10:17,135][__main__][INFO] - [1, 11], []
[2025-01-30 00:10:17,151][__main__][INFO] - [1], [11]
[2025-01-30 00:10:17,169][__main__][INFO] - [1, 12], []
[2025-01-30 00:10:17,187][__main__][INFO] - [1, 13], []
[2025-01-30 00:10:17,203][__main__][INFO] - [1, 14], []
[2025-01-30 00:10:17,220][__main__][INFO] - [1, 15], []
[2025-01-30 00:10:17,237][__main__][INFO] - [1, 16], []
[2025-01-30 00:10:17,253][__main__][INFO] - [1, 17], []
[2025-01-30 00:10:17,270][__main__][INFO] - [1, 18], []
[2025-01-30 00:10:17,286][__main__][INFO] - [1, 19], []
[2025-01-30 00:10:17,314][__main__][INFO] - [1, 21], []
[2025-01-30 00:10:17,333][__main__][INFO] - [1, 22], []
[2025-01-30 00:10:17,349][__main__][INFO] - [1, 23], []
[2025-01-30 00:10:17,366][__main__][INFO] - [1, 24], []
[2025-01-30 00:10:17,382][__main__][INFO] - [1, 25], []
[2025-01-30 00:10:17,399][__main__][INFO] - [1, 26], []
[2025-01-30 00:10:17,415][__main__][INFO] - [1, 27], []
[2025-01-30 00:10:17,431][__main__][INFO] - [1, 28], []
[2025-01-30 00:10:17,448][__main__][INFO] - [1, 29], []
[2025-01-30 00:10:17,464][__main__][INFO] - [1, 30], []
[2025-01-30 00:10:17,480][__main__][INFO] - [1, 31], []
[2025-01-30 00:10:17,496][__main__][INFO] - [1, 32], []
[2025-01-30 00:10:17,512][__main__][INFO] - [1, 33], []
[2025-01-30 00:10:17,528][__main__][INFO] - [1, 34], []
[2025-01-30 00:10:17,544][__main__][INFO] - [1, 35], []
[2025-01-30 00:10:17,573][__main__][INFO] - [2, 10], []
[2025-01-30 00:10:17,591][__main__][INFO] - [2], [10]
[2025-01-30 00:10:17,608][__main__][INFO] - [2, 11], []
[2025-01-30 00:10:17,625][__main__][INFO] - [2], [11]
[2025-01-30 00:10:17,643][__main__][INFO] - [2, 12], []
[2025-01-30 00:10:17,661][__main__][INFO] - [2, 13], []
[2025-01-30 00:10:17,677][__main__][INFO] - [2, 14], []
[2025-01-30 00:10:17,693][__main__][INFO] - [2, 15], []
[2025-01-30 00:10:17,710][__main__][INFO] - [2, 16], []
[2025-01-30 00:10:17,726][__main__][INFO] - [2, 17], []
[2025-01-30 00:10:17,743][__main__][INFO] - [2, 18], []
[2025-01-30 00:10:17,759][__main__][INFO] - [2, 19], []
[2025-01-30 00:10:17,788][__main__][INFO] - [2, 21], []
[2025-01-30 00:10:17,806][__main__][INFO] - [2, 22], []
[2025-01-30 00:10:17,823][__main__][INFO] - [2, 23], []
[2025-01-30 00:10:17,839][__main__][INFO] - [2, 24], []
[2025-01-30 00:10:17,855][__main__][INFO] - [2, 25], []
[2025-01-30 00:10:17,871][__main__][INFO] - [2, 26], []
[2025-01-30 00:10:17,887][__main__][INFO] - [2, 27], []
[2025-01-30 00:10:17,904][__main__][INFO] - [2, 28], []
[2025-01-30 00:10:17,920][__main__][INFO] - [2, 29], []
[2025-01-30 00:10:17,936][__main__][INFO] - [2, 30], []
[2025-01-30 00:10:17,953][__main__][INFO] - [2, 31], []
[2025-01-30 00:10:17,969][__main__][INFO] - [2, 32], []
[2025-01-30 00:10:17,985][__main__][INFO] - [2, 33], []
[2025-01-30 00:10:18,001][__main__][INFO] - [2, 34], []
[2025-01-30 00:10:18,016][__main__][INFO] - [2, 35], []
[2025-01-30 00:10:18,046][__main__][INFO] - [3, 10], []
[2025-01-30 00:10:18,064][__main__][INFO] - [3], [10]
[2025-01-30 00:10:18,081][__main__][INFO] - [3, 11], []
[2025-01-30 00:10:18,097][__main__][INFO] - [3], [11]
[2025-01-30 00:10:18,115][__main__][INFO] - [3, 12], []
[2025-01-30 00:10:18,133][__main__][INFO] - [3, 13], []
[2025-01-30 00:10:18,149][__main__][INFO] - [3, 14], []
[2025-01-30 00:10:18,165][__main__][INFO] - [3, 15], []
[2025-01-30 00:10:18,182][__main__][INFO] - [3, 16], []
[2025-01-30 00:10:18,198][__main__][INFO] - [3, 17], []
[2025-01-30 00:10:18,215][__main__][INFO] - [3, 18], []
[2025-01-30 00:10:18,231][__main__][INFO] - [3, 19], []
[2025-01-30 00:10:18,260][__main__][INFO] - [3, 21], []
[2025-01-30 00:10:18,277][__main__][INFO] - [3, 22], []
[2025-01-30 00:10:18,294][__main__][INFO] - [3, 23], []
[2025-01-30 00:10:18,310][__main__][INFO] - [3, 24], []
[2025-01-30 00:10:18,326][__main__][INFO] - [3, 25], []
[2025-01-30 00:10:18,343][__main__][INFO] - [3, 26], []
[2025-01-30 00:10:18,359][__main__][INFO] - [3, 27], []
[2025-01-30 00:10:18,375][__main__][INFO] - [3, 28], []
[2025-01-30 00:10:18,391][__main__][INFO] - [3, 29], []
[2025-01-30 00:10:18,407][__main__][INFO] - [3, 30], []
[2025-01-30 00:10:18,423][__main__][INFO] - [3, 31], []
[2025-01-30 00:10:18,439][__main__][INFO] - [3, 32], []
[2025-01-30 00:10:18,455][__main__][INFO] - [3, 33], []
[2025-01-30 00:10:18,471][__main__][INFO] - [3, 34], []
[2025-01-30 00:10:18,487][__main__][INFO] - [3, 35], []
[2025-01-30 00:10:18,517][__main__][INFO] - [4, 10], []
[2025-01-30 00:10:18,534][__main__][INFO] - [4], [10]
[2025-01-30 00:10:18,551][__main__][INFO] - [4, 11], []
[2025-01-30 00:10:18,568][__main__][INFO] - [4], [11]
[2025-01-30 00:10:18,586][__main__][INFO] - [4, 12], []
[2025-01-30 00:10:18,604][__main__][INFO] - [4, 13], []
[2025-01-30 00:10:18,621][__main__][INFO] - [4, 14], []
[2025-01-30 00:10:18,637][__main__][INFO] - [4, 15], []
[2025-01-30 00:10:18,654][__main__][INFO] - [4, 16], []
[2025-01-30 00:10:18,670][__main__][INFO] - [4, 17], []
[2025-01-30 00:10:18,687][__main__][INFO] - [4, 18], []
[2025-01-30 00:10:18,703][__main__][INFO] - [4, 19], []
[2025-01-30 00:10:18,732][__main__][INFO] - [4, 21], []
[2025-01-30 00:10:18,750][__main__][INFO] - [4, 22], []
[2025-01-30 00:10:18,766][__main__][INFO] - [4, 23], []
[2025-01-30 00:10:18,783][__main__][INFO] - [4, 24], []
[2025-01-30 00:10:18,799][__main__][INFO] - [4, 25], []
[2025-01-30 00:10:18,815][__main__][INFO] - [4, 26], []
[2025-01-30 00:10:18,832][__main__][INFO] - [4, 27], []
[2025-01-30 00:10:18,848][__main__][INFO] - [4, 28], []
[2025-01-30 00:10:18,864][__main__][INFO] - [4, 29], []
[2025-01-30 00:10:18,880][__main__][INFO] - [4, 30], []
[2025-01-30 00:10:18,896][__main__][INFO] - [4, 31], []
[2025-01-30 00:10:18,913][__main__][INFO] - [4, 32], []
[2025-01-30 00:10:18,929][__main__][INFO] - [4, 33], []
[2025-01-30 00:10:18,945][__main__][INFO] - [4, 34], []
[2025-01-30 00:10:18,961][__main__][INFO] - [4, 35], []
[2025-01-30 00:10:18,991][__main__][INFO] - [5, 10], []
[2025-01-30 00:10:19,009][__main__][INFO] - [5], [10]
[2025-01-30 00:10:19,026][__main__][INFO] - [5, 11], []
[2025-01-30 00:10:19,043][__main__][INFO] - [5], [11]
[2025-01-30 00:10:19,060][__main__][INFO] - [5, 12], []
[2025-01-30 00:10:19,078][__main__][INFO] - [5, 13], []
[2025-01-30 00:10:19,094][__main__][INFO] - [5, 14], []
[2025-01-30 00:10:19,110][__main__][INFO] - [5, 15], []
[2025-01-30 00:10:19,127][__main__][INFO] - [5, 16], []
[2025-01-30 00:10:19,143][__main__][INFO] - [5, 17], []
[2025-01-30 00:10:19,159][__main__][INFO] - [5, 18], []
[2025-01-30 00:10:19,175][__main__][INFO] - [5, 19], []
[2025-01-30 00:10:19,204][__main__][INFO] - [5, 21], []
[2025-01-30 00:10:19,222][__main__][INFO] - [5, 22], []
[2025-01-30 00:10:19,240][__main__][INFO] - [5, 23], []
[2025-01-30 00:10:19,258][__main__][INFO] - [5, 24], []
[2025-01-30 00:10:19,275][__main__][INFO] - [5, 25], []
[2025-01-30 00:10:19,292][__main__][INFO] - [5, 26], []
[2025-01-30 00:10:19,308][__main__][INFO] - [5, 27], []
[2025-01-30 00:10:19,323][__main__][INFO] - [5, 28], []
[2025-01-30 00:10:19,339][__main__][INFO] - [5, 29], []
[2025-01-30 00:10:19,356][__main__][INFO] - [5, 30], []
[2025-01-30 00:10:19,372][__main__][INFO] - [5, 31], []
[2025-01-30 00:10:19,388][__main__][INFO] - [5, 32], []
[2025-01-30 00:10:19,404][__main__][INFO] - [5, 33], []
[2025-01-30 00:10:19,420][__main__][INFO] - [5, 34], []
[2025-01-30 00:10:19,435][__main__][INFO] - [5, 35], []
[2025-01-30 00:10:19,464][__main__][INFO] - [6, 10], []
[2025-01-30 00:10:19,480][__main__][INFO] - [6], [10]
[2025-01-30 00:10:19,497][__main__][INFO] - [6, 11], []
[2025-01-30 00:10:19,513][__main__][INFO] - [6], [11]
[2025-01-30 00:10:19,529][__main__][INFO] - [6, 12], []
[2025-01-30 00:10:19,546][__main__][INFO] - [6, 13], []
[2025-01-30 00:10:19,561][__main__][INFO] - [6, 14], []
[2025-01-30 00:10:19,577][__main__][INFO] - [6, 15], []
[2025-01-30 00:10:19,593][__main__][INFO] - [6, 16], []
[2025-01-30 00:10:19,609][__main__][INFO] - [6, 17], []
[2025-01-30 00:10:19,624][__main__][INFO] - [6, 18], []
[2025-01-30 00:10:19,640][__main__][INFO] - [6, 19], []
[2025-01-30 00:10:19,667][__main__][INFO] - [6, 21], []
[2025-01-30 00:10:19,684][__main__][INFO] - [6, 22], []
[2025-01-30 00:10:19,700][__main__][INFO] - [6, 23], []
[2025-01-30 00:10:19,716][__main__][INFO] - [6, 24], []
[2025-01-30 00:10:19,733][__main__][INFO] - [6, 25], []
[2025-01-30 00:10:19,749][__main__][INFO] - [6, 26], []
[2025-01-30 00:10:19,765][__main__][INFO] - [6, 27], []
[2025-01-30 00:10:19,781][__main__][INFO] - [6, 28], []
[2025-01-30 00:10:19,797][__main__][INFO] - [6, 29], []
[2025-01-30 00:10:19,813][__main__][INFO] - [6, 30], []
[2025-01-30 00:10:19,829][__main__][INFO] - [6, 31], []
[2025-01-30 00:10:19,845][__main__][INFO] - [6, 32], []
[2025-01-30 00:10:19,861][__main__][INFO] - [6, 33], []
[2025-01-30 00:10:19,877][__main__][INFO] - [6, 34], []
[2025-01-30 00:10:19,894][__main__][INFO] - [6, 35], []
[2025-01-30 00:10:19,923][__main__][INFO] - [7, 10], []
[2025-01-30 00:10:19,939][__main__][INFO] - [7], [10]
[2025-01-30 00:10:19,955][__main__][INFO] - [7, 11], []
[2025-01-30 00:10:19,971][__main__][INFO] - [7], [11]
[2025-01-30 00:10:19,987][__main__][INFO] - [7, 12], []
[2025-01-30 00:10:20,004][__main__][INFO] - [7, 13], []
[2025-01-30 00:10:20,020][__main__][INFO] - [7, 14], []
[2025-01-30 00:10:20,036][__main__][INFO] - [7, 15], []
[2025-01-30 00:10:20,051][__main__][INFO] - [7, 16], []
[2025-01-30 00:10:20,067][__main__][INFO] - [7, 17], []
[2025-01-30 00:10:20,122][__main__][INFO] - [7, 21], []
[2025-01-30 00:10:20,139][__main__][INFO] - [7, 22], []
[2025-01-30 00:10:20,155][__main__][INFO] - [7, 23], []
[2025-01-30 00:10:20,171][__main__][INFO] - [7, 24], []
[2025-01-30 00:10:20,187][__main__][INFO] - [7, 25], []
[2025-01-30 00:10:20,202][__main__][INFO] - [7, 26], []
[2025-01-30 00:10:20,217][__main__][INFO] - [7, 27], []
[2025-01-30 00:10:20,233][__main__][INFO] - [7, 28], []
[2025-01-30 00:10:20,249][__main__][INFO] - [7, 29], []
[2025-01-30 00:10:20,265][__main__][INFO] - [7, 30], []
[2025-01-30 00:10:20,282][__main__][INFO] - [7, 31], []
[2025-01-30 00:10:20,297][__main__][INFO] - [7, 32], []
[2025-01-30 00:10:20,313][__main__][INFO] - [7, 33], []
[2025-01-30 00:10:20,329][__main__][INFO] - [7, 34], []
[2025-01-30 00:10:20,346][__main__][INFO] - [7, 35], []
[2025-01-30 00:10:20,374][__main__][INFO] - [8, 10], []
[2025-01-30 00:10:20,390][__main__][INFO] - [8], [10]
[2025-01-30 00:10:20,406][__main__][INFO] - [8, 11], []
[2025-01-30 00:10:20,422][__main__][INFO] - [8], [11]
[2025-01-30 00:10:20,439][__main__][INFO] - [8, 12], []
[2025-01-30 00:10:20,455][__main__][INFO] - [8, 13], []
[2025-01-30 00:10:20,471][__main__][INFO] - [8, 14], []
[2025-01-30 00:10:20,487][__main__][INFO] - [8, 15], []
[2025-01-30 00:10:20,516][__main__][INFO] - [8, 17], []
[2025-01-30 00:10:20,571][__main__][INFO] - [8, 21], []
[2025-01-30 00:10:20,587][__main__][INFO] - [8, 22], []
[2025-01-30 00:10:20,604][__main__][INFO] - [8, 23], []
[2025-01-30 00:10:20,672][__main__][INFO] - [8, 28], []
[2025-01-30 00:10:20,688][__main__][INFO] - [8, 29], []
[2025-01-30 00:10:20,704][__main__][INFO] - [8, 30], []
[2025-01-30 00:10:20,720][__main__][INFO] - [8, 31], []
[2025-01-30 00:10:20,736][__main__][INFO] - [8, 32], []
[2025-01-30 00:10:20,752][__main__][INFO] - [8, 33], []
[2025-01-30 00:10:20,767][__main__][INFO] - [8, 34], []
[2025-01-30 00:10:20,783][__main__][INFO] - [8, 35], []
[2025-01-30 00:10:20,812][__main__][INFO] - [9, 10], []
[2025-01-30 00:10:20,828][__main__][INFO] - [9], [10]
[2025-01-30 00:10:20,844][__main__][INFO] - [9, 11], []
[2025-01-30 00:10:20,859][__main__][INFO] - [9], [11]
[2025-01-30 00:10:20,875][__main__][INFO] - [9, 12], []
[2025-01-30 00:10:20,917][__main__][INFO] - [9, 15], []
[2025-01-30 00:10:20,998][__main__][INFO] - [9, 21], []
[2025-01-30 00:10:21,028][__main__][INFO] - [9, 23], []
[2025-01-30 00:10:21,183][__main__][INFO] - [9, 35], []
[2025-01-30 00:10:21,212][__main__][INFO] - [10, 11], []
[2025-01-30 00:10:21,227][__main__][INFO] - [10], [11]
