[2025-01-29 13:09:38,476][__main__][INFO] - In total, there are 1229 possible subgroups
[2025-01-29 13:09:38,505][__main__][INFO] - [0], []
[2025-01-29 13:09:38,696][__main__][INFO] - [1], []
[2025-01-29 13:09:38,931][__main__][INFO] - [2], []
[2025-01-29 13:09:39,148][__main__][INFO] - [3], []
[2025-01-29 13:09:39,323][__main__][INFO] - [4], []
[2025-01-29 13:09:39,538][__main__][INFO] - [5], []
[2025-01-29 13:09:39,727][__main__][INFO] - [6], []
[2025-01-29 13:09:39,812][__main__][INFO] - [7], []
[2025-01-29 13:09:39,853][__main__][INFO] - [8], []
[2025-01-29 13:09:39,874][__main__][INFO] - [9], []
[2025-01-29 13:09:39,899][__main__][INFO] - [10], []
[2025-01-29 13:09:40,776][__main__][INFO] - [11], []
[2025-01-29 13:09:40,815][__main__][INFO] - [12], []
[2025-01-29 13:09:40,971][__main__][INFO] - [13], []
[2025-01-29 13:09:40,997][__main__][INFO] - [14], []
[2025-01-29 13:09:41,021][__main__][INFO] - [15], []
[2025-01-29 13:09:41,201][__main__][INFO] - [16], []
[2025-01-29 13:09:41,782][__main__][INFO] - [], [16]
[2025-01-29 13:09:42,430][__main__][INFO] - [17], []
[2025-01-29 13:09:42,568][__main__][INFO] - [18], []
[2025-01-29 13:09:43,342][__main__][INFO] - [19], []
[2025-01-29 13:09:43,397][__main__][INFO] - [20], []
[2025-01-29 13:09:43,455][__main__][INFO] - [21], []
[2025-01-29 13:09:43,477][__main__][INFO] - [22], []
[2025-01-29 13:09:43,498][__main__][INFO] - [23], []
[2025-01-29 13:09:43,687][__main__][INFO] - [24], []
[2025-01-29 13:09:43,711][__main__][INFO] - [25], []
[2025-01-29 13:09:43,772][__main__][INFO] - [0, 10], []
[2025-01-29 13:09:43,936][__main__][INFO] - [0, 11], []
[2025-01-29 13:09:43,959][__main__][INFO] - [0, 12], []
[2025-01-29 13:09:43,986][__main__][INFO] - [0, 13], []
[2025-01-29 13:09:44,007][__main__][INFO] - [0, 14], []
[2025-01-29 13:09:44,031][__main__][INFO] - [0, 15], []
[2025-01-29 13:09:44,061][__main__][INFO] - [0, 16], []
[2025-01-29 13:09:44,156][__main__][INFO] - [0], [16]
[2025-01-29 13:09:44,255][__main__][INFO] - [0, 17], []
[2025-01-29 13:09:44,297][__main__][INFO] - [0, 18], []
[2025-01-29 13:09:44,409][__main__][INFO] - [0, 19], []
[2025-01-29 13:09:44,439][__main__][INFO] - [0, 20], []
[2025-01-29 13:09:44,466][__main__][INFO] - [0, 21], []
[2025-01-29 13:09:44,489][__main__][INFO] - [0, 22], []
[2025-01-29 13:09:44,516][__main__][INFO] - [0, 23], []
[2025-01-29 13:09:44,552][__main__][INFO] - [0, 24], []
[2025-01-29 13:09:44,610][__main__][INFO] - [1, 10], []
[2025-01-29 13:09:44,802][__main__][INFO] - [1, 11], []
[2025-01-29 13:09:44,827][__main__][INFO] - [1, 12], []
[2025-01-29 13:09:44,864][__main__][INFO] - [1, 13], []
[2025-01-29 13:09:44,886][__main__][INFO] - [1, 14], []
[2025-01-29 13:09:44,908][__main__][INFO] - [1, 15], []
[2025-01-29 13:09:44,948][__main__][INFO] - [1, 16], []
[2025-01-29 13:09:45,064][__main__][INFO] - [1], [16]
[2025-01-29 13:09:45,190][__main__][INFO] - [1, 17], []
[2025-01-29 13:09:45,240][__main__][INFO] - [1, 18], []
[2025-01-29 13:09:45,378][__main__][INFO] - [1, 19], []
[2025-01-29 13:09:45,408][__main__][INFO] - [1, 20], []
[2025-01-29 13:09:45,436][__main__][INFO] - [1, 21], []
[2025-01-29 13:09:45,459][__main__][INFO] - [1, 22], []
[2025-01-29 13:09:45,481][__main__][INFO] - [1, 23], []
[2025-01-29 13:09:45,530][__main__][INFO] - [1, 24], []
[2025-01-29 13:09:45,581][__main__][INFO] - [2, 10], []
[2025-01-29 13:09:45,734][__main__][INFO] - [2, 11], []
[2025-01-29 13:09:45,762][__main__][INFO] - [2, 12], []
[2025-01-29 13:09:45,807][__main__][INFO] - [2, 13], []
[2025-01-29 13:09:45,829][__main__][INFO] - [2, 14], []
[2025-01-29 13:09:45,855][__main__][INFO] - [2, 15], []
[2025-01-29 13:09:45,907][__main__][INFO] - [2, 16], []
[2025-01-29 13:09:46,013][__main__][INFO] - [2], [16]
[2025-01-29 13:09:46,134][__main__][INFO] - [2, 17], []
[2025-01-29 13:09:46,175][__main__][INFO] - [2, 18], []
[2025-01-29 13:09:46,310][__main__][INFO] - [2, 19], []
[2025-01-29 13:09:46,338][__main__][INFO] - [2, 20], []
[2025-01-29 13:09:46,365][__main__][INFO] - [2, 21], []
[2025-01-29 13:09:46,387][__main__][INFO] - [2, 22], []
[2025-01-29 13:09:46,410][__main__][INFO] - [2, 23], []
[2025-01-29 13:09:46,461][__main__][INFO] - [2, 24], []
[2025-01-29 13:09:46,513][__main__][INFO] - [3, 10], []
[2025-01-29 13:09:46,624][__main__][INFO] - [3, 11], []
[2025-01-29 13:09:46,652][__main__][INFO] - [3, 12], []
[2025-01-29 13:09:46,696][__main__][INFO] - [3, 13], []
[2025-01-29 13:09:46,718][__main__][INFO] - [3, 14], []
[2025-01-29 13:09:46,740][__main__][INFO] - [3, 15], []
[2025-01-29 13:09:46,791][__main__][INFO] - [3, 16], []
[2025-01-29 13:09:46,880][__main__][INFO] - [3], [16]
[2025-01-29 13:09:46,978][__main__][INFO] - [3, 17], []
[2025-01-29 13:09:47,014][__main__][INFO] - [3, 18], []
[2025-01-29 13:09:47,127][__main__][INFO] - [3, 19], []
[2025-01-29 13:09:47,152][__main__][INFO] - [3, 20], []
[2025-01-29 13:09:47,182][__main__][INFO] - [3, 21], []
[2025-01-29 13:09:47,203][__main__][INFO] - [3, 22], []
[2025-01-29 13:09:47,224][__main__][INFO] - [3, 23], []
[2025-01-29 13:09:47,270][__main__][INFO] - [3, 24], []
[2025-01-29 13:09:47,331][__main__][INFO] - [4, 10], []
[2025-01-29 13:09:47,465][__main__][INFO] - [4, 11], []
[2025-01-29 13:09:47,491][__main__][INFO] - [4, 12], []
[2025-01-29 13:09:47,540][__main__][INFO] - [4, 13], []
[2025-01-29 13:09:47,562][__main__][INFO] - [4, 14], []
[2025-01-29 13:09:47,585][__main__][INFO] - [4, 15], []
[2025-01-29 13:09:47,643][__main__][INFO] - [4, 16], []
[2025-01-29 13:09:47,753][__main__][INFO] - [4], [16]
[2025-01-29 13:09:47,874][__main__][INFO] - [4, 17], []
[2025-01-29 13:09:47,913][__main__][INFO] - [4, 18], []
[2025-01-29 13:09:48,054][__main__][INFO] - [4, 19], []
[2025-01-29 13:09:48,079][__main__][INFO] - [4, 20], []
[2025-01-29 13:09:48,107][__main__][INFO] - [4, 21], []
