[2025-01-29 13:49:19,683][__main__][INFO] - In total, there are 47339 possible subgroups
[2025-01-29 13:49:19,712][__main__][INFO] - [0], []
[2025-01-29 13:49:19,880][__main__][INFO] - [1], []
[2025-01-29 13:49:20,142][__main__][INFO] - [2], []
[2025-01-29 13:49:20,404][__main__][INFO] - [3], []
[2025-01-29 13:49:20,616][__main__][INFO] - [4], []
[2025-01-29 13:49:20,883][__main__][INFO] - [5], []
[2025-01-29 13:49:21,109][__main__][INFO] - [6], []
[2025-01-29 13:49:21,205][__main__][INFO] - [7], []
[2025-01-29 13:49:21,248][__main__][INFO] - [8], []
[2025-01-29 13:49:21,273][__main__][INFO] - [9], []
[2025-01-29 13:49:21,294][__main__][INFO] - [10], []
[2025-01-29 13:49:22,089][__main__][INFO] - [], [10]
[2025-01-29 13:49:22,976][__main__][INFO] - [11], []
[2025-01-29 13:49:23,097][__main__][INFO] - [], [11]
[2025-01-29 13:49:24,775][__main__][INFO] - [12], []
[2025-01-29 13:49:25,673][__main__][INFO] - [13], []
[2025-01-29 13:49:25,742][__main__][INFO] - [14], []
[2025-01-29 13:49:25,812][__main__][INFO] - [15], []
[2025-01-29 13:49:26,049][__main__][INFO] - [16], []
[2025-01-29 13:49:26,076][__main__][INFO] - [17], []
[2025-01-29 13:49:26,246][__main__][INFO] - [18], []
[2025-01-29 13:49:26,270][__main__][INFO] - [19], []
[2025-01-29 13:49:26,307][__main__][INFO] - [21], []
[2025-01-29 13:49:27,296][__main__][INFO] - [22], []
[2025-01-29 13:49:27,501][__main__][INFO] - [23], []
[2025-01-29 13:49:27,772][__main__][INFO] - [24], []
[2025-01-29 13:49:27,809][__main__][INFO] - [25], []
[2025-01-29 13:49:27,834][__main__][INFO] - [26], []
[2025-01-29 13:49:27,873][__main__][INFO] - [27], []
[2025-01-29 13:49:27,924][__main__][INFO] - [28], []
[2025-01-29 13:49:27,993][__main__][INFO] - [29], []
[2025-01-29 13:49:28,076][__main__][INFO] - [30], []
[2025-01-29 13:49:28,159][__main__][INFO] - [31], []
[2025-01-29 13:49:28,240][__main__][INFO] - [32], []
[2025-01-29 13:49:28,323][__main__][INFO] - [33], []
[2025-01-29 13:49:28,402][__main__][INFO] - [34], []
[2025-01-29 13:49:28,471][__main__][INFO] - [35], []
[2025-01-29 13:49:29,128][__main__][INFO] - [0, 10], []
[2025-01-29 13:49:29,214][__main__][INFO] - [0], [10]
[2025-01-29 13:49:29,303][__main__][INFO] - [0, 11], []
[2025-01-29 13:49:29,327][__main__][INFO] - [0], [11]
[2025-01-29 13:49:29,483][__main__][INFO] - [0, 12], []
[2025-01-29 13:49:29,582][__main__][INFO] - [0, 13], []
[2025-01-29 13:49:29,607][__main__][INFO] - [0, 14], []
[2025-01-29 13:49:29,634][__main__][INFO] - [0, 15], []
[2025-01-29 13:49:29,668][__main__][INFO] - [0, 16], []
[2025-01-29 13:49:29,689][__main__][INFO] - [0, 17], []
[2025-01-29 13:49:29,728][__main__][INFO] - [0, 18], []
[2025-01-29 13:49:29,749][__main__][INFO] - [0, 19], []
[2025-01-29 13:49:29,784][__main__][INFO] - [0, 21], []
[2025-01-29 13:49:29,920][__main__][INFO] - [0, 22], []
[2025-01-29 13:49:29,949][__main__][INFO] - [0, 23], []
[2025-01-29 13:49:29,974][__main__][INFO] - [0, 24], []
[2025-01-29 13:49:29,996][__main__][INFO] - [0, 25], []
[2025-01-29 13:49:30,020][__main__][INFO] - [0, 26], []
[2025-01-29 13:49:30,049][__main__][INFO] - [0, 27], []
[2025-01-29 13:49:30,075][__main__][INFO] - [0, 28], []
[2025-01-29 13:49:30,102][__main__][INFO] - [0, 29], []
[2025-01-29 13:49:30,131][__main__][INFO] - [0, 30], []
[2025-01-29 13:49:30,159][__main__][INFO] - [0, 31], []
[2025-01-29 13:49:30,186][__main__][INFO] - [0, 32], []
[2025-01-29 13:49:30,213][__main__][INFO] - [0, 33], []
[2025-01-29 13:49:30,239][__main__][INFO] - [0, 34], []
[2025-01-29 13:49:30,263][__main__][INFO] - [0, 35], []
[2025-01-29 13:49:30,329][__main__][INFO] - [1, 10], []
[2025-01-29 13:49:30,458][__main__][INFO] - [1], [10]
[2025-01-29 13:49:30,599][__main__][INFO] - [1, 11], []
[2025-01-29 13:49:30,625][__main__][INFO] - [1], [11]
[2025-01-29 13:49:30,874][__main__][INFO] - [1, 12], []
[2025-01-29 13:49:31,028][__main__][INFO] - [1, 13], []
[2025-01-29 13:49:31,056][__main__][INFO] - [1, 14], []
[2025-01-29 13:49:31,086][__main__][INFO] - [1, 15], []
[2025-01-29 13:49:31,137][__main__][INFO] - [1, 16], []
[2025-01-29 13:49:31,158][__main__][INFO] - [1, 17], []
[2025-01-29 13:49:31,205][__main__][INFO] - [1, 18], []
[2025-01-29 13:49:31,226][__main__][INFO] - [1, 19], []
[2025-01-29 13:49:31,263][__main__][INFO] - [1, 21], []
