[2025-01-29 13:08:43,419][__main__][INFO] - In total, there are 1229 possible subgroups
[2025-01-29 13:08:43,448][__main__][INFO] - [0], []
[2025-01-29 13:08:43,628][__main__][INFO] - [1], []
[2025-01-29 13:08:43,864][__main__][INFO] - [2], []
[2025-01-29 13:08:44,083][__main__][INFO] - [3], []
[2025-01-29 13:08:44,261][__main__][INFO] - [4], []
[2025-01-29 13:08:44,474][__main__][INFO] - [5], []
[2025-01-29 13:08:44,662][__main__][INFO] - [6], []
[2025-01-29 13:08:44,744][__main__][INFO] - [7], []
[2025-01-29 13:08:44,780][__main__][INFO] - [8], []
[2025-01-29 13:08:44,801][__main__][INFO] - [9], []
[2025-01-29 13:08:44,819][__main__][INFO] - [10], []
[2025-01-29 13:08:45,690][__main__][INFO] - [11], []
[2025-01-29 13:08:45,729][__main__][INFO] - [12], []
[2025-01-29 13:08:45,883][__main__][INFO] - [13], []
[2025-01-29 13:08:45,905][__main__][INFO] - [14], []
[2025-01-29 13:08:45,925][__main__][INFO] - [15], []
[2025-01-29 13:08:46,112][__main__][INFO] - [16], []
[2025-01-29 13:08:46,687][__main__][INFO] - [], [16]
[2025-01-29 13:08:47,338][__main__][INFO] - [17], []
[2025-01-29 13:08:47,472][__main__][INFO] - [18], []
[2025-01-29 13:08:48,237][__main__][INFO] - [19], []
[2025-01-29 13:08:48,290][__main__][INFO] - [20], []
[2025-01-29 13:08:48,345][__main__][INFO] - [21], []
[2025-01-29 13:08:48,366][__main__][INFO] - [22], []
[2025-01-29 13:08:48,386][__main__][INFO] - [23], []
[2025-01-29 13:08:48,571][__main__][INFO] - [24], []
[2025-01-29 13:08:48,589][__main__][INFO] - [25], []
[2025-01-29 13:08:48,639][__main__][INFO] - [0, 10], []
[2025-01-29 13:08:48,797][__main__][INFO] - [0, 11], []
[2025-01-29 13:08:48,819][__main__][INFO] - [0, 12], []
[2025-01-29 13:08:48,845][__main__][INFO] - [0, 13], []
[2025-01-29 13:08:48,866][__main__][INFO] - [0, 14], []
[2025-01-29 13:08:48,886][__main__][INFO] - [0, 15], []
[2025-01-29 13:08:48,914][__main__][INFO] - [0, 16], []
[2025-01-29 13:08:49,008][__main__][INFO] - [0], [16]
[2025-01-29 13:08:49,104][__main__][INFO] - [0, 17], []
[2025-01-29 13:08:49,144][__main__][INFO] - [0, 18], []
[2025-01-29 13:08:49,254][__main__][INFO] - [0, 19], []
[2025-01-29 13:08:49,283][__main__][INFO] - [0, 20], []
[2025-01-29 13:08:49,308][__main__][INFO] - [0, 21], []
[2025-01-29 13:08:49,329][__main__][INFO] - [0, 22], []
[2025-01-29 13:08:49,352][__main__][INFO] - [0, 23], []
[2025-01-29 13:08:49,387][__main__][INFO] - [0, 24], []
[2025-01-29 13:08:49,436][__main__][INFO] - [1, 10], []
[2025-01-29 13:08:49,621][__main__][INFO] - [1, 11], []
[2025-01-29 13:08:49,645][__main__][INFO] - [1, 12], []
[2025-01-29 13:08:49,680][__main__][INFO] - [1, 13], []
[2025-01-29 13:08:49,701][__main__][INFO] - [1, 14], []
[2025-01-29 13:08:49,722][__main__][INFO] - [1, 15], []
[2025-01-29 13:08:49,759][__main__][INFO] - [1, 16], []
[2025-01-29 13:08:49,872][__main__][INFO] - [1], [16]
[2025-01-29 13:08:49,996][__main__][INFO] - [1, 17], []
[2025-01-29 13:08:50,040][__main__][INFO] - [1, 18], []
[2025-01-29 13:08:50,178][__main__][INFO] - [1, 19], []
[2025-01-29 13:08:50,206][__main__][INFO] - [1, 20], []
[2025-01-29 13:08:50,233][__main__][INFO] - [1, 21], []
[2025-01-29 13:08:50,254][__main__][INFO] - [1, 22], []
[2025-01-29 13:08:50,274][__main__][INFO] - [1, 23], []
[2025-01-29 13:08:50,321][__main__][INFO] - [1, 24], []
[2025-01-29 13:08:50,370][__main__][INFO] - [2, 10], []
[2025-01-29 13:08:50,520][__main__][INFO] - [2, 11], []
[2025-01-29 13:08:50,544][__main__][INFO] - [2, 12], []
[2025-01-29 13:08:50,587][__main__][INFO] - [2, 13], []
[2025-01-29 13:08:50,608][__main__][INFO] - [2, 14], []
[2025-01-29 13:08:50,628][__main__][INFO] - [2, 15], []
[2025-01-29 13:08:50,677][__main__][INFO] - [2, 16], []
[2025-01-29 13:08:50,782][__main__][INFO] - [2], [16]
[2025-01-29 13:08:50,902][__main__][INFO] - [2, 17], []
[2025-01-29 13:08:50,943][__main__][INFO] - [2, 18], []
[2025-01-29 13:08:51,074][__main__][INFO] - [2, 19], []
[2025-01-29 13:08:51,100][__main__][INFO] - [2, 20], []
[2025-01-29 13:08:51,126][__main__][INFO] - [2, 21], []
[2025-01-29 13:08:51,146][__main__][INFO] - [2, 22], []
[2025-01-29 13:08:51,167][__main__][INFO] - [2, 23], []
[2025-01-29 13:08:51,218][__main__][INFO] - [2, 24], []
[2025-01-29 13:08:51,267][__main__][INFO] - [3, 10], []
[2025-01-29 13:08:51,373][__main__][INFO] - [3, 11], []
[2025-01-29 13:08:51,397][__main__][INFO] - [3, 12], []
[2025-01-29 13:08:51,440][__main__][INFO] - [3, 13], []
[2025-01-29 13:08:51,460][__main__][INFO] - [3, 14], []
[2025-01-29 13:08:51,481][__main__][INFO] - [3, 15], []
[2025-01-29 13:08:51,531][__main__][INFO] - [3, 16], []
[2025-01-29 13:08:51,617][__main__][INFO] - [3], [16]
[2025-01-29 13:08:51,715][__main__][INFO] - [3, 17], []
[2025-01-29 13:08:51,750][__main__][INFO] - [3, 18], []
[2025-01-29 13:08:51,857][__main__][INFO] - [3, 19], []
[2025-01-29 13:08:51,881][__main__][INFO] - [3, 20], []
[2025-01-29 13:08:51,906][__main__][INFO] - [3, 21], []
[2025-01-29 13:08:51,926][__main__][INFO] - [3, 22], []
[2025-01-29 13:08:51,947][__main__][INFO] - [3, 23], []
[2025-01-29 13:08:51,992][__main__][INFO] - [3, 24], []
[2025-01-29 13:08:52,041][__main__][INFO] - [4, 10], []
[2025-01-29 13:08:52,176][__main__][INFO] - [4, 11], []
[2025-01-29 13:08:52,208][__main__][INFO] - [4, 12], []
[2025-01-29 13:08:52,256][__main__][INFO] - [4, 13], []
[2025-01-29 13:08:52,277][__main__][INFO] - [4, 14], []
[2025-01-29 13:08:52,297][__main__][INFO] - [4, 15], []
[2025-01-29 13:08:52,355][__main__][INFO] - [4, 16], []
[2025-01-29 13:08:52,460][__main__][INFO] - [4], [16]
[2025-01-29 13:08:52,577][__main__][INFO] - [4, 17], []
[2025-01-29 13:08:52,614][__main__][INFO] - [4, 18], []
[2025-01-29 13:08:52,753][__main__][INFO] - [4, 19], []
[2025-01-29 13:08:52,776][__main__][INFO] - [4, 20], []
[2025-01-29 13:08:52,802][__main__][INFO] - [4, 21], []
[2025-01-29 13:08:52,823][__main__][INFO] - [4, 22], []
[2025-01-29 13:08:52,843][__main__][INFO] - [4, 23], []
[2025-01-29 13:08:52,892][__main__][INFO] - [4, 24], []
[2025-01-29 13:08:52,941][__main__][INFO] - [5, 10], []
[2025-01-29 13:08:53,068][__main__][INFO] - [5, 11], []
[2025-01-29 13:08:53,092][__main__][INFO] - [5, 12], []
[2025-01-29 13:08:53,135][__main__][INFO] - [5, 13], []
[2025-01-29 13:08:53,156][__main__][INFO] - [5, 14], []
[2025-01-29 13:08:53,177][__main__][INFO] - [5, 15], []
[2025-01-29 13:08:53,220][__main__][INFO] - [5, 16], []
[2025-01-29 13:08:53,315][__main__][INFO] - [5], [16]
[2025-01-29 13:08:53,420][__main__][INFO] - [5, 17], []
[2025-01-29 13:08:53,450][__main__][INFO] - [5, 18], []
[2025-01-29 13:08:53,592][__main__][INFO] - [5, 19], []
[2025-01-29 13:08:53,616][__main__][INFO] - [5, 20], []
[2025-01-29 13:08:53,642][__main__][INFO] - [5, 21], []
[2025-01-29 13:08:53,662][__main__][INFO] - [5, 22], []
[2025-01-29 13:08:53,683][__main__][INFO] - [5, 23], []
[2025-01-29 13:08:53,726][__main__][INFO] - [5, 24], []
[2025-01-29 13:08:53,775][__main__][INFO] - [6, 10], []
[2025-01-29 13:08:53,839][__main__][INFO] - [6, 11], []
[2025-01-29 13:08:53,861][__main__][INFO] - [6, 12], []
[2025-01-29 13:08:53,889][__main__][INFO] - [6, 13], []
[2025-01-29 13:08:53,910][__main__][INFO] - [6, 14], []
[2025-01-29 13:08:53,930][__main__][INFO] - [6, 15], []
[2025-01-29 13:08:53,956][__main__][INFO] - [6, 16], []
[2025-01-29 13:08:54,003][__main__][INFO] - [6], [16]
[2025-01-29 13:08:54,055][__main__][INFO] - [6, 17], []
[2025-01-29 13:08:54,077][__main__][INFO] - [6, 18], []
[2025-01-29 13:08:54,142][__main__][INFO] - [6, 19], []
[2025-01-29 13:08:54,163][__main__][INFO] - [6, 20], []
[2025-01-29 13:08:54,185][__main__][INFO] - [6, 21], []
[2025-01-29 13:08:54,205][__main__][INFO] - [6, 22], []
[2025-01-29 13:08:54,226][__main__][INFO] - [6, 23], []
[2025-01-29 13:08:54,253][__main__][INFO] - [6, 24], []
