[2025-01-29 13:28:59,688][__main__][INFO] - In total, there are 47339 possible subgroups
[2025-01-29 13:28:59,719][__main__][INFO] - [0], []
[2025-01-29 13:28:59,931][__main__][INFO] - [1], []
[2025-01-29 13:29:00,235][__main__][INFO] - [2], []
[2025-01-29 13:29:00,527][__main__][INFO] - [3], []
[2025-01-29 13:29:00,774][__main__][INFO] - [4], []
[2025-01-29 13:29:01,072][__main__][INFO] - [5], []
[2025-01-29 13:29:01,329][__main__][INFO] - [6], []
[2025-01-29 13:29:01,439][__main__][INFO] - [7], []
[2025-01-29 13:29:01,488][__main__][INFO] - [8], []
[2025-01-29 13:29:01,517][__main__][INFO] - [9], []
[2025-01-29 13:29:01,539][__main__][INFO] - [10], []
[2025-01-29 13:29:02,789][__main__][INFO] - [], [10]
[2025-01-29 13:29:04,157][__main__][INFO] - [11], []
[2025-01-29 13:29:04,407][__main__][INFO] - [], [11]
[2025-01-29 13:29:07,126][__main__][INFO] - [12], []
[2025-01-29 13:29:08,158][__main__][INFO] - [13], []
[2025-01-29 13:29:08,243][__main__][INFO] - [14], []
[2025-01-29 13:29:08,331][__main__][INFO] - [15], []
[2025-01-29 13:29:08,615][__main__][INFO] - [16], []
[2025-01-29 13:29:08,647][__main__][INFO] - [17], []
[2025-01-29 13:29:08,870][__main__][INFO] - [18], []
[2025-01-29 13:29:08,898][__main__][INFO] - [19], []
[2025-01-29 13:29:08,941][__main__][INFO] - [21], []
[2025-01-29 13:29:10,185][__main__][INFO] - [22], []
[2025-01-29 13:29:10,485][__main__][INFO] - [23], []
[2025-01-29 13:29:10,839][__main__][INFO] - [24], []
[2025-01-29 13:29:10,886][__main__][INFO] - [25], []
[2025-01-29 13:29:10,914][__main__][INFO] - [26], []
[2025-01-29 13:29:10,961][__main__][INFO] - [27], []
[2025-01-29 13:29:11,021][__main__][INFO] - [28], []
[2025-01-29 13:29:11,103][__main__][INFO] - [29], []
[2025-01-29 13:29:11,203][__main__][INFO] - [30], []
[2025-01-29 13:29:11,302][__main__][INFO] - [31], []
[2025-01-29 13:29:11,394][__main__][INFO] - [32], []
[2025-01-29 13:29:11,489][__main__][INFO] - [33], []
[2025-01-29 13:29:11,580][__main__][INFO] - [34], []
[2025-01-29 13:29:11,660][__main__][INFO] - [35], []
[2025-01-29 13:29:12,412][__main__][INFO] - [0, 10], []
[2025-01-29 13:29:12,513][__main__][INFO] - [0], [10]
[2025-01-29 13:29:12,612][__main__][INFO] - [0, 11], []
[2025-01-29 13:29:12,641][__main__][INFO] - [0], [11]
[2025-01-29 13:29:12,819][__main__][INFO] - [0, 12], []
[2025-01-29 13:29:12,932][__main__][INFO] - [0, 13], []
[2025-01-29 13:29:12,958][__main__][INFO] - [0, 14], []
[2025-01-29 13:29:12,987][__main__][INFO] - [0, 15], []
[2025-01-29 13:29:13,027][__main__][INFO] - [0, 16], []
[2025-01-29 13:29:13,049][__main__][INFO] - [0, 17], []
[2025-01-29 13:29:13,095][__main__][INFO] - [0, 18], []
[2025-01-29 13:29:13,116][__main__][INFO] - [0, 19], []
[2025-01-29 13:29:13,153][__main__][INFO] - [0, 21], []
[2025-01-29 13:29:13,304][__main__][INFO] - [0, 22], []
[2025-01-29 13:29:13,338][__main__][INFO] - [0, 23], []
[2025-01-29 13:29:13,365][__main__][INFO] - [0, 24], []
[2025-01-29 13:29:13,387][__main__][INFO] - [0, 25], []
[2025-01-29 13:29:13,411][__main__][INFO] - [0, 26], []
[2025-01-29 13:29:13,442][__main__][INFO] - [0, 27], []
[2025-01-29 13:29:13,469][__main__][INFO] - [0, 28], []
[2025-01-29 13:29:13,498][__main__][INFO] - [0, 29], []
[2025-01-29 13:29:13,529][__main__][INFO] - [0, 30], []
[2025-01-29 13:29:13,559][__main__][INFO] - [0, 31], []
[2025-01-29 13:29:13,588][__main__][INFO] - [0, 32], []
[2025-01-29 13:29:13,615][__main__][INFO] - [0, 33], []
[2025-01-29 13:29:13,641][__main__][INFO] - [0, 34], []
[2025-01-29 13:29:13,666][__main__][INFO] - [0, 35], []
[2025-01-29 13:29:13,735][__main__][INFO] - [1, 10], []
[2025-01-29 13:29:13,877][__main__][INFO] - [1], [10]
[2025-01-29 13:29:14,035][__main__][INFO] - [1, 11], []
[2025-01-29 13:29:14,066][__main__][INFO] - [1], [11]
[2025-01-29 13:29:14,350][__main__][INFO] - [1, 12], []
[2025-01-29 13:29:14,522][__main__][INFO] - [1, 13], []
[2025-01-29 13:29:14,551][__main__][INFO] - [1, 14], []
[2025-01-29 13:29:14,583][__main__][INFO] - [1, 15], []
[2025-01-29 13:29:14,645][__main__][INFO] - [1, 16], []
[2025-01-29 13:29:14,667][__main__][INFO] - [1, 17], []
[2025-01-29 13:29:14,721][__main__][INFO] - [1, 18], []
[2025-01-29 13:29:14,743][__main__][INFO] - [1, 19], []
[2025-01-29 13:29:14,780][__main__][INFO] - [1, 21], []
[2025-01-29 13:29:15,008][__main__][INFO] - [1, 22], []
[2025-01-29 13:29:15,061][__main__][INFO] - [1, 23], []
[2025-01-29 13:29:15,101][__main__][INFO] - [1, 24], []
[2025-01-29 13:29:15,124][__main__][INFO] - [1, 25], []
[2025-01-29 13:29:15,145][__main__][INFO] - [1, 26], []
[2025-01-29 13:29:15,169][__main__][INFO] - [1, 27], []
[2025-01-29 13:29:15,195][__main__][INFO] - [1, 28], []
[2025-01-29 13:29:15,225][__main__][INFO] - [1, 29], []
[2025-01-29 13:29:15,259][__main__][INFO] - [1, 30], []
[2025-01-29 13:29:15,294][__main__][INFO] - [1, 31], []
[2025-01-29 13:29:15,327][__main__][INFO] - [1, 32], []
[2025-01-29 13:29:15,360][__main__][INFO] - [1, 33], []
[2025-01-29 13:29:15,393][__main__][INFO] - [1, 34], []
[2025-01-29 13:29:15,423][__main__][INFO] - [1, 35], []
[2025-01-29 13:29:15,550][__main__][INFO] - [2, 10], []
[2025-01-29 13:29:15,685][__main__][INFO] - [2], [10]
[2025-01-29 13:29:15,846][__main__][INFO] - [2, 11], []
[2025-01-29 13:29:15,877][__main__][INFO] - [2], [11]
[2025-01-29 13:29:16,154][__main__][INFO] - [2, 12], []
[2025-01-29 13:29:16,324][__main__][INFO] - [2, 13], []
[2025-01-29 13:29:16,353][__main__][INFO] - [2, 14], []
[2025-01-29 13:29:16,382][__main__][INFO] - [2, 15], []
[2025-01-29 13:29:16,447][__main__][INFO] - [2, 16], []
[2025-01-29 13:29:16,469][__main__][INFO] - [2, 17], []
[2025-01-29 13:29:16,520][__main__][INFO] - [2, 18], []
[2025-01-29 13:29:16,541][__main__][INFO] - [2, 19], []
[2025-01-29 13:29:16,578][__main__][INFO] - [2, 21], []
[2025-01-29 13:29:16,759][__main__][INFO] - [2, 22], []
[2025-01-29 13:29:16,824][__main__][INFO] - [2, 23], []
[2025-01-29 13:29:16,878][__main__][INFO] - [2, 24], []
[2025-01-29 13:29:16,901][__main__][INFO] - [2, 25], []
[2025-01-29 13:29:16,923][__main__][INFO] - [2, 26], []
[2025-01-29 13:29:16,946][__main__][INFO] - [2, 27], []
[2025-01-29 13:29:16,972][__main__][INFO] - [2, 28], []
[2025-01-29 13:29:17,002][__main__][INFO] - [2, 29], []
[2025-01-29 13:29:17,034][__main__][INFO] - [2, 30], []
[2025-01-29 13:29:17,065][__main__][INFO] - [2, 31], []
[2025-01-29 13:29:17,095][__main__][INFO] - [2, 32], []
[2025-01-29 13:29:17,127][__main__][INFO] - [2, 33], []
[2025-01-29 13:29:17,157][__main__][INFO] - [2, 34], []
[2025-01-29 13:29:17,187][__main__][INFO] - [2, 35], []
[2025-01-29 13:29:17,329][__main__][INFO] - [3, 10], []
[2025-01-29 13:29:17,446][__main__][INFO] - [3], [10]
[2025-01-29 13:29:17,574][__main__][INFO] - [3, 11], []
[2025-01-29 13:29:17,606][__main__][INFO] - [3], [11]
[2025-01-29 13:29:17,831][__main__][INFO] - [3, 12], []
[2025-01-29 13:29:17,969][__main__][INFO] - [3, 13], []
[2025-01-29 13:29:17,997][__main__][INFO] - [3, 14], []
[2025-01-29 13:29:18,024][__main__][INFO] - [3, 15], []
[2025-01-29 13:29:18,082][__main__][INFO] - [3, 16], []
[2025-01-29 13:29:18,104][__main__][INFO] - [3, 17], []
[2025-01-29 13:29:18,149][__main__][INFO] - [3, 18], []
[2025-01-29 13:29:18,171][__main__][INFO] - [3, 19], []
[2025-01-29 13:29:18,208][__main__][INFO] - [3, 21], []
[2025-01-29 13:29:18,338][__main__][INFO] - [3, 22], []
[2025-01-29 13:29:18,394][__main__][INFO] - [3, 23], []
[2025-01-29 13:29:18,460][__main__][INFO] - [3, 24], []
[2025-01-29 13:29:18,483][__main__][INFO] - [3, 25], []
[2025-01-29 13:29:18,505][__main__][INFO] - [3, 26], []
[2025-01-29 13:29:18,527][__main__][INFO] - [3, 27], []
[2025-01-29 13:29:18,552][__main__][INFO] - [3, 28], []
[2025-01-29 13:29:18,580][__main__][INFO] - [3, 29], []
[2025-01-29 13:29:18,609][__main__][INFO] - [3, 30], []
[2025-01-29 13:29:18,637][__main__][INFO] - [3, 31], []
[2025-01-29 13:29:18,666][__main__][INFO] - [3, 32], []
[2025-01-29 13:29:18,695][__main__][INFO] - [3, 33], []
[2025-01-29 13:29:18,723][__main__][INFO] - [3, 34], []
[2025-01-29 13:29:18,750][__main__][INFO] - [3, 35], []
[2025-01-29 13:29:18,875][__main__][INFO] - [4, 10], []
[2025-01-29 13:29:19,018][__main__][INFO] - [4], [10]
[2025-01-29 13:29:19,173][__main__][INFO] - [4, 11], []
[2025-01-29 13:29:19,208][__main__][INFO] - [4], [11]
[2025-01-29 13:29:19,483][__main__][INFO] - [4, 12], []
[2025-01-29 13:29:19,664][__main__][INFO] - [4, 13], []
[2025-01-29 13:29:19,694][__main__][INFO] - [4, 14], []
[2025-01-29 13:29:19,721][__main__][INFO] - [4, 15], []
[2025-01-29 13:29:19,783][__main__][INFO] - [4, 16], []
[2025-01-29 13:29:19,805][__main__][INFO] - [4, 17], []
[2025-01-29 13:29:19,852][__main__][INFO] - [4, 18], []
[2025-01-29 13:29:19,874][__main__][INFO] - [4, 19], []
[2025-01-29 13:29:19,911][__main__][INFO] - [4, 21], []
[2025-01-29 13:29:20,073][__main__][INFO] - [4, 22], []
[2025-01-29 13:29:20,127][__main__][INFO] - [4, 23], []
[2025-01-29 13:29:20,210][__main__][INFO] - [4, 24], []
[2025-01-29 13:29:20,234][__main__][INFO] - [4, 25], []
[2025-01-29 13:29:20,256][__main__][INFO] - [4, 26], []
[2025-01-29 13:29:20,278][__main__][INFO] - [4, 27], []
[2025-01-29 13:29:20,303][__main__][INFO] - [4, 28], []
[2025-01-29 13:29:20,330][__main__][INFO] - [4, 29], []
[2025-01-29 13:29:20,361][__main__][INFO] - [4, 30], []
[2025-01-29 13:29:20,390][__main__][INFO] - [4, 31], []
[2025-01-29 13:29:20,420][__main__][INFO] - [4, 32], []
[2025-01-29 13:29:20,450][__main__][INFO] - [4, 33], []
[2025-01-29 13:29:20,481][__main__][INFO] - [4, 34], []
[2025-01-29 13:29:20,510][__main__][INFO] - [4, 35], []
[2025-01-29 13:29:20,674][__main__][INFO] - [5, 10], []
[2025-01-29 13:29:20,798][__main__][INFO] - [5], [10]
[2025-01-29 13:29:20,934][__main__][INFO] - [5, 11], []
[2025-01-29 13:29:20,973][__main__][INFO] - [5], [11]
[2025-01-29 13:29:21,204][__main__][INFO] - [5, 12], []
[2025-01-29 13:29:21,371][__main__][INFO] - [5, 13], []
[2025-01-29 13:29:21,400][__main__][INFO] - [5, 14], []
[2025-01-29 13:29:21,425][__main__][INFO] - [5, 15], []
[2025-01-29 13:29:21,480][__main__][INFO] - [5, 16], []
[2025-01-29 13:29:21,501][__main__][INFO] - [5, 17], []
[2025-01-29 13:29:21,539][__main__][INFO] - [5, 18], []
[2025-01-29 13:29:21,561][__main__][INFO] - [5, 19], []
[2025-01-29 13:29:21,597][__main__][INFO] - [5, 21], []
[2025-01-29 13:29:21,749][__main__][INFO] - [5, 22], []
[2025-01-29 13:29:21,789][__main__][INFO] - [5, 23], []
[2025-01-29 13:29:21,862][__main__][INFO] - [5, 24], []
[2025-01-29 13:29:21,886][__main__][INFO] - [5, 25], []
