[2025-01-29 13:10:24,124][__main__][INFO] - In total, there are 1229 possible subgroups
[2025-01-29 13:10:24,153][__main__][INFO] - [0], []
[2025-01-29 13:10:24,337][__main__][INFO] - [1], []
[2025-01-29 13:10:24,573][__main__][INFO] - [2], []
[2025-01-29 13:10:24,797][__main__][INFO] - [3], []
[2025-01-29 13:10:24,977][__main__][INFO] - [4], []
[2025-01-29 13:10:25,195][__main__][INFO] - [5], []
[2025-01-29 13:10:25,387][__main__][INFO] - [6], []
[2025-01-29 13:10:25,471][__main__][INFO] - [7], []
[2025-01-29 13:10:25,509][__main__][INFO] - [8], []
[2025-01-29 13:10:25,531][__main__][INFO] - [9], []
[2025-01-29 13:10:25,549][__main__][INFO] - [10], []
[2025-01-29 13:10:26,423][__main__][INFO] - [11], []
[2025-01-29 13:10:26,466][__main__][INFO] - [12], []
[2025-01-29 13:10:26,626][__main__][INFO] - [13], []
[2025-01-29 13:10:26,650][__main__][INFO] - [14], []
[2025-01-29 13:10:26,673][__main__][INFO] - [15], []
[2025-01-29 13:10:26,862][__main__][INFO] - [16], []
[2025-01-29 13:10:27,455][__main__][INFO] - [], [16]
[2025-01-29 13:10:28,119][__main__][INFO] - [17], []
[2025-01-29 13:10:28,255][__main__][INFO] - [18], []
[2025-01-29 13:10:29,027][__main__][INFO] - [19], []
[2025-01-29 13:10:29,085][__main__][INFO] - [20], []
[2025-01-29 13:10:29,142][__main__][INFO] - [21], []
[2025-01-29 13:10:29,166][__main__][INFO] - [22], []
[2025-01-29 13:10:29,187][__main__][INFO] - [23], []
[2025-01-29 13:10:29,378][__main__][INFO] - [24], []
[2025-01-29 13:10:29,398][__main__][INFO] - [25], []
[2025-01-29 13:10:29,444][__main__][INFO] - [0, 10], []
[2025-01-29 13:10:29,607][__main__][INFO] - [0, 11], []
[2025-01-29 13:10:29,629][__main__][INFO] - [0, 12], []
[2025-01-29 13:10:29,655][__main__][INFO] - [0, 13], []
[2025-01-29 13:10:29,679][__main__][INFO] - [0, 14], []
[2025-01-29 13:10:29,699][__main__][INFO] - [0, 15], []
[2025-01-29 13:10:29,727][__main__][INFO] - [0, 16], []
[2025-01-29 13:10:29,823][__main__][INFO] - [0], [16]
[2025-01-29 13:10:29,922][__main__][INFO] - [0, 17], []
[2025-01-29 13:10:29,961][__main__][INFO] - [0, 18], []
[2025-01-29 13:10:30,074][__main__][INFO] - [0, 19], []
[2025-01-29 13:10:30,103][__main__][INFO] - [0, 20], []
[2025-01-29 13:10:30,129][__main__][INFO] - [0, 21], []
[2025-01-29 13:10:30,150][__main__][INFO] - [0, 22], []
[2025-01-29 13:10:30,170][__main__][INFO] - [0, 23], []
[2025-01-29 13:10:30,206][__main__][INFO] - [0, 24], []
[2025-01-29 13:10:30,255][__main__][INFO] - [1, 10], []
[2025-01-29 13:10:30,442][__main__][INFO] - [1, 11], []
[2025-01-29 13:10:30,466][__main__][INFO] - [1, 12], []
[2025-01-29 13:10:30,502][__main__][INFO] - [1, 13], []
[2025-01-29 13:10:30,522][__main__][INFO] - [1, 14], []
[2025-01-29 13:10:30,543][__main__][INFO] - [1, 15], []
[2025-01-29 13:10:30,581][__main__][INFO] - [1, 16], []
[2025-01-29 13:10:30,697][__main__][INFO] - [1], [16]
[2025-01-29 13:10:30,822][__main__][INFO] - [1, 17], []
[2025-01-29 13:10:30,866][__main__][INFO] - [1, 18], []
[2025-01-29 13:10:31,009][__main__][INFO] - [1, 19], []
[2025-01-29 13:10:31,038][__main__][INFO] - [1, 20], []
[2025-01-29 13:10:31,065][__main__][INFO] - [1, 21], []
[2025-01-29 13:10:31,086][__main__][INFO] - [1, 22], []
[2025-01-29 13:10:31,107][__main__][INFO] - [1, 23], []
[2025-01-29 13:10:31,154][__main__][INFO] - [1, 24], []
[2025-01-29 13:10:31,203][__main__][INFO] - [2, 10], []
[2025-01-29 13:10:31,352][__main__][INFO] - [2, 11], []
[2025-01-29 13:10:31,377][__main__][INFO] - [2, 12], []
[2025-01-29 13:10:31,420][__main__][INFO] - [2, 13], []
[2025-01-29 13:10:31,441][__main__][INFO] - [2, 14], []
[2025-01-29 13:10:31,462][__main__][INFO] - [2, 15], []
[2025-01-29 13:10:31,511][__main__][INFO] - [2, 16], []
[2025-01-29 13:10:31,618][__main__][INFO] - [2], [16]
[2025-01-29 13:10:31,740][__main__][INFO] - [2, 17], []
[2025-01-29 13:10:31,781][__main__][INFO] - [2, 18], []
[2025-01-29 13:10:31,916][__main__][INFO] - [2, 19], []
[2025-01-29 13:10:31,942][__main__][INFO] - [2, 20], []
[2025-01-29 13:10:31,968][__main__][INFO] - [2, 21], []
[2025-01-29 13:10:31,989][__main__][INFO] - [2, 22], []
[2025-01-29 13:10:32,009][__main__][INFO] - [2, 23], []
[2025-01-29 13:10:32,060][__main__][INFO] - [2, 24], []
[2025-01-29 13:10:32,109][__main__][INFO] - [3, 10], []
[2025-01-29 13:10:32,214][__main__][INFO] - [3, 11], []
[2025-01-29 13:10:32,238][__main__][INFO] - [3, 12], []
[2025-01-29 13:10:32,282][__main__][INFO] - [3, 13], []
