[2025-01-29 13:29:01,712][__main__][INFO] - In total, there are 47339 possible subgroups
[2025-01-29 13:29:01,742][__main__][INFO] - [0], []
[2025-01-29 13:29:01,987][__main__][INFO] - [1], []
[2025-01-29 13:29:02,359][__main__][INFO] - [2], []
[2025-01-29 13:29:02,737][__main__][INFO] - [3], []
[2025-01-29 13:29:03,057][__main__][INFO] - [4], []
[2025-01-29 13:29:03,443][__main__][INFO] - [5], []
[2025-01-29 13:29:03,780][__main__][INFO] - [6], []
[2025-01-29 13:29:03,931][__main__][INFO] - [7], []
[2025-01-29 13:29:03,992][__main__][INFO] - [8], []
[2025-01-29 13:29:04,020][__main__][INFO] - [9], []
[2025-01-29 13:29:04,038][__main__][INFO] - [10], []
[2025-01-29 13:29:06,113][__main__][INFO] - [], [10]
[2025-01-29 13:29:08,287][__main__][INFO] - [11], []
[2025-01-29 13:29:08,789][__main__][INFO] - [], [11]
[2025-01-29 13:29:13,230][__main__][INFO] - [12], []
[2025-01-29 13:29:14,496][__main__][INFO] - [13], []
[2025-01-29 13:29:14,645][__main__][INFO] - [14], []
[2025-01-29 13:29:14,806][__main__][INFO] - [15], []
[2025-01-29 13:29:15,225][__main__][INFO] - [16], []
[2025-01-29 13:29:15,272][__main__][INFO] - [17], []
[2025-01-29 13:29:15,615][__main__][INFO] - [18], []
[2025-01-29 13:29:15,647][__main__][INFO] - [19], []
[2025-01-29 13:29:15,696][__main__][INFO] - [21], []
[2025-01-29 13:29:17,475][__main__][INFO] - [22], []
[2025-01-29 13:29:17,953][__main__][INFO] - [23], []
[2025-01-29 13:29:18,573][__main__][INFO] - [24], []
[2025-01-29 13:29:18,661][__main__][INFO] - [25], []
[2025-01-29 13:29:18,693][__main__][INFO] - [26], []
[2025-01-29 13:29:18,760][__main__][INFO] - [27], []
[2025-01-29 13:29:18,851][__main__][INFO] - [28], []
[2025-01-29 13:29:18,971][__main__][INFO] - [29], []
[2025-01-29 13:29:19,115][__main__][INFO] - [30], []
[2025-01-29 13:29:19,263][__main__][INFO] - [31], []
[2025-01-29 13:29:19,401][__main__][INFO] - [32], []
[2025-01-29 13:29:19,540][__main__][INFO] - [33], []
[2025-01-29 13:29:19,677][__main__][INFO] - [34], []
[2025-01-29 13:29:19,795][__main__][INFO] - [35], []
[2025-01-29 13:29:20,619][__main__][INFO] - [0, 10], []
[2025-01-29 13:29:20,735][__main__][INFO] - [0], [10]
[2025-01-29 13:29:20,847][__main__][INFO] - [0, 11], []
[2025-01-29 13:29:20,877][__main__][INFO] - [0], [11]
[2025-01-29 13:29:21,089][__main__][INFO] - [0, 12], []
[2025-01-29 13:29:21,200][__main__][INFO] - [0, 13], []
[2025-01-29 13:29:21,226][__main__][INFO] - [0, 14], []
[2025-01-29 13:29:21,256][__main__][INFO] - [0, 15], []
[2025-01-29 13:29:21,296][__main__][INFO] - [0, 16], []
[2025-01-29 13:29:21,317][__main__][INFO] - [0, 17], []
[2025-01-29 13:29:21,362][__main__][INFO] - [0, 18], []
[2025-01-29 13:29:21,385][__main__][INFO] - [0, 19], []
[2025-01-29 13:29:21,420][__main__][INFO] - [0, 21], []
[2025-01-29 13:29:21,579][__main__][INFO] - [0, 22], []
[2025-01-29 13:29:21,614][__main__][INFO] - [0, 23], []
[2025-01-29 13:29:21,642][__main__][INFO] - [0, 24], []
[2025-01-29 13:29:21,666][__main__][INFO] - [0, 25], []
[2025-01-29 13:29:21,688][__main__][INFO] - [0, 26], []
[2025-01-29 13:29:21,720][__main__][INFO] - [0, 27], []
[2025-01-29 13:29:21,748][__main__][INFO] - [0, 28], []
[2025-01-29 13:29:21,776][__main__][INFO] - [0, 29], []
[2025-01-29 13:29:21,807][__main__][INFO] - [0, 30], []
[2025-01-29 13:29:21,837][__main__][INFO] - [0, 31], []
[2025-01-29 13:29:21,866][__main__][INFO] - [0, 32], []
[2025-01-29 13:29:21,893][__main__][INFO] - [0, 33], []
[2025-01-29 13:29:21,919][__main__][INFO] - [0, 34], []
[2025-01-29 13:29:21,944][__main__][INFO] - [0, 35], []
[2025-01-29 13:29:22,011][__main__][INFO] - [1, 10], []
[2025-01-29 13:29:22,171][__main__][INFO] - [1], [10]
[2025-01-29 13:29:22,347][__main__][INFO] - [1, 11], []
[2025-01-29 13:29:22,379][__main__][INFO] - [1], [11]
[2025-01-29 13:29:22,704][__main__][INFO] - [1, 12], []
[2025-01-29 13:29:22,872][__main__][INFO] - [1, 13], []
[2025-01-29 13:29:22,903][__main__][INFO] - [1, 14], []
[2025-01-29 13:29:22,936][__main__][INFO] - [1, 15], []
