[2025-01-29 23:40:36,568][__main__][INFO] - In total, there are 1229 possible subgroups
[2025-01-29 23:40:36,597][__main__][INFO] - [0], []
[2025-01-29 23:40:36,622][__main__][INFO] - [1], []
[2025-01-29 23:40:36,645][__main__][INFO] - [2], []
[2025-01-29 23:40:36,667][__main__][INFO] - [3], []
[2025-01-29 23:40:36,689][__main__][INFO] - [4], []
[2025-01-29 23:40:36,712][__main__][INFO] - [5], []
[2025-01-29 23:40:36,734][__main__][INFO] - [6], []
[2025-01-29 23:40:36,754][__main__][INFO] - [7], []
[2025-01-29 23:40:36,774][__main__][INFO] - [8], []
[2025-01-29 23:40:36,793][__main__][INFO] - [9], []
[2025-01-29 23:40:36,812][__main__][INFO] - [10], []
[2025-01-29 23:40:36,839][__main__][INFO] - [11], []
[2025-01-29 23:40:36,859][__main__][INFO] - [12], []
[2025-01-29 23:40:36,881][__main__][INFO] - [13], []
[2025-01-29 23:40:36,900][__main__][INFO] - [14], []
[2025-01-29 23:40:36,919][__main__][INFO] - [15], []
[2025-01-29 23:40:36,941][__main__][INFO] - [16], []
[2025-01-29 23:40:36,967][__main__][INFO] - [], [16]
[2025-01-29 23:40:36,993][__main__][INFO] - [17], []
[2025-01-29 23:40:37,015][__main__][INFO] - [18], []
[2025-01-29 23:40:37,041][__main__][INFO] - [19], []
[2025-01-29 23:40:37,061][__main__][INFO] - [20], []
[2025-01-29 23:40:37,081][__main__][INFO] - [21], []
[2025-01-29 23:40:37,101][__main__][INFO] - [22], []
[2025-01-29 23:40:37,120][__main__][INFO] - [23], []
[2025-01-29 23:40:37,142][__main__][INFO] - [24], []
[2025-01-29 23:40:37,162][__main__][INFO] - [25], []
[2025-01-29 23:40:37,210][__main__][INFO] - [0, 10], []
[2025-01-29 23:40:37,234][__main__][INFO] - [0, 11], []
[2025-01-29 23:40:37,257][__main__][INFO] - [0, 12], []
[2025-01-29 23:40:37,279][__main__][INFO] - [0, 13], []
[2025-01-29 23:40:37,301][__main__][INFO] - [0, 14], []
[2025-01-29 23:40:37,323][__main__][INFO] - [0, 15], []
[2025-01-29 23:40:37,345][__main__][INFO] - [0, 16], []
[2025-01-29 23:40:37,369][__main__][INFO] - [0], [16]
[2025-01-29 23:40:37,392][__main__][INFO] - [0, 17], []
[2025-01-29 23:40:37,415][__main__][INFO] - [0, 18], []
[2025-01-29 23:40:37,439][__main__][INFO] - [0, 19], []
[2025-01-29 23:40:37,461][__main__][INFO] - [0, 20], []
[2025-01-29 23:40:37,483][__main__][INFO] - [0, 21], []
[2025-01-29 23:40:37,505][__main__][INFO] - [0, 22], []
[2025-01-29 23:40:37,527][__main__][INFO] - [0, 23], []
[2025-01-29 23:40:37,549][__main__][INFO] - [0, 24], []
[2025-01-29 23:40:37,600][__main__][INFO] - [1, 10], []
[2025-01-29 23:40:37,625][__main__][INFO] - [1, 11], []
[2025-01-29 23:40:37,647][__main__][INFO] - [1, 12], []
[2025-01-29 23:40:37,670][__main__][INFO] - [1, 13], []
[2025-01-29 23:40:37,692][__main__][INFO] - [1, 14], []
[2025-01-29 23:40:37,714][__main__][INFO] - [1, 15], []
[2025-01-29 23:40:37,737][__main__][INFO] - [1, 16], []
[2025-01-29 23:40:37,761][__main__][INFO] - [1], [16]
[2025-01-29 23:40:37,785][__main__][INFO] - [1, 17], []
