[2025-01-29 23:54:31,822][__main__][INFO] - In total, there are 47339 possible subgroups
[2025-01-29 23:54:31,851][__main__][INFO] - [0], []
[2025-01-29 23:54:31,872][__main__][INFO] - [1], []
[2025-01-29 23:54:31,889][__main__][INFO] - [2], []
[2025-01-29 23:54:31,906][__main__][INFO] - [3], []
[2025-01-29 23:54:31,923][__main__][INFO] - [4], []
[2025-01-29 23:54:31,941][__main__][INFO] - [5], []
[2025-01-29 23:54:31,958][__main__][INFO] - [6], []
[2025-01-29 23:54:31,974][__main__][INFO] - [7], []
[2025-01-29 23:54:31,990][__main__][INFO] - [8], []
[2025-01-29 23:54:32,005][__main__][INFO] - [9], []
[2025-01-29 23:54:32,020][__main__][INFO] - [10], []
[2025-01-29 23:54:32,043][__main__][INFO] - [], [10]
[2025-01-29 23:54:32,063][__main__][INFO] - [11], []
[2025-01-29 23:54:32,079][__main__][INFO] - [], [11]
[2025-01-29 23:54:32,107][__main__][INFO] - [12], []
[2025-01-29 23:54:32,126][__main__][INFO] - [13], []
[2025-01-29 23:54:32,142][__main__][INFO] - [14], []
[2025-01-29 23:54:32,157][__main__][INFO] - [15], []
[2025-01-29 23:54:32,175][__main__][INFO] - [16], []
[2025-01-29 23:54:32,190][__main__][INFO] - [17], []
[2025-01-29 23:54:32,207][__main__][INFO] - [18], []
[2025-01-29 23:54:32,221][__main__][INFO] - [19], []
[2025-01-29 23:54:32,249][__main__][INFO] - [21], []
[2025-01-29 23:54:32,269][__main__][INFO] - [22], []
[2025-01-29 23:54:32,286][__main__][INFO] - [23], []
[2025-01-29 23:54:32,304][__main__][INFO] - [24], []
[2025-01-29 23:54:32,319][__main__][INFO] - [25], []
[2025-01-29 23:54:32,334][__main__][INFO] - [26], []
[2025-01-29 23:54:32,349][__main__][INFO] - [27], []
[2025-01-29 23:54:32,364][__main__][INFO] - [28], []
[2025-01-29 23:54:32,380][__main__][INFO] - [29], []
[2025-01-29 23:54:32,396][__main__][INFO] - [30], []
[2025-01-29 23:54:32,412][__main__][INFO] - [31], []
[2025-01-29 23:54:32,427][__main__][INFO] - [32], []
[2025-01-29 23:54:32,443][__main__][INFO] - [33], []
[2025-01-29 23:54:32,459][__main__][INFO] - [34], []
[2025-01-29 23:54:32,474][__main__][INFO] - [35], []
[2025-01-29 23:54:32,518][__main__][INFO] - [0, 10], []
[2025-01-29 23:54:32,535][__main__][INFO] - [0], [10]
[2025-01-29 23:54:32,552][__main__][INFO] - [0, 11], []
[2025-01-29 23:54:32,568][__main__][INFO] - [0], [11]
[2025-01-29 23:54:32,585][__main__][INFO] - [0, 12], []
[2025-01-29 23:54:32,602][__main__][INFO] - [0, 13], []
[2025-01-29 23:54:32,618][__main__][INFO] - [0, 14], []
[2025-01-29 23:54:32,633][__main__][INFO] - [0, 15], []
[2025-01-29 23:54:32,649][__main__][INFO] - [0, 16], []
[2025-01-29 23:54:32,664][__main__][INFO] - [0, 17], []
[2025-01-29 23:54:32,680][__main__][INFO] - [0, 18], []
[2025-01-29 23:54:32,696][__main__][INFO] - [0, 19], []
[2025-01-29 23:54:32,724][__main__][INFO] - [0, 21], []
[2025-01-29 23:54:32,741][__main__][INFO] - [0, 22], []
[2025-01-29 23:54:32,758][__main__][INFO] - [0, 23], []
[2025-01-29 23:54:32,775][__main__][INFO] - [0, 24], []
[2025-01-29 23:54:32,791][__main__][INFO] - [0, 25], []
[2025-01-29 23:54:32,807][__main__][INFO] - [0, 26], []
[2025-01-29 23:54:32,824][__main__][INFO] - [0, 27], []
[2025-01-29 23:54:32,840][__main__][INFO] - [0, 28], []
[2025-01-29 23:54:32,856][__main__][INFO] - [0, 29], []
[2025-01-29 23:54:32,873][__main__][INFO] - [0, 30], []
[2025-01-29 23:54:32,889][__main__][INFO] - [0, 31], []
[2025-01-29 23:54:32,905][__main__][INFO] - [0, 32], []
[2025-01-29 23:54:32,921][__main__][INFO] - [0, 33], []
[2025-01-29 23:54:32,937][__main__][INFO] - [0, 34], []
[2025-01-29 23:54:32,953][__main__][INFO] - [0, 35], []
[2025-01-29 23:54:32,982][__main__][INFO] - [1, 10], []
[2025-01-29 23:54:33,000][__main__][INFO] - [1], [10]
[2025-01-29 23:54:33,018][__main__][INFO] - [1, 11], []
[2025-01-29 23:54:33,034][__main__][INFO] - [1], [11]
[2025-01-29 23:54:33,052][__main__][INFO] - [1, 12], []
[2025-01-29 23:54:33,070][__main__][INFO] - [1, 13], []
[2025-01-29 23:54:33,086][__main__][INFO] - [1, 14], []
[2025-01-29 23:54:33,102][__main__][INFO] - [1, 15], []
[2025-01-29 23:54:33,119][__main__][INFO] - [1, 16], []
[2025-01-29 23:54:33,135][__main__][INFO] - [1, 17], []
[2025-01-29 23:54:33,152][__main__][INFO] - [1, 18], []
[2025-01-29 23:54:33,168][__main__][INFO] - [1, 19], []
[2025-01-29 23:54:33,197][__main__][INFO] - [1, 21], []
[2025-01-29 23:54:33,215][__main__][INFO] - [1, 22], []
[2025-01-29 23:54:33,232][__main__][INFO] - [1, 23], []
[2025-01-29 23:54:33,248][__main__][INFO] - [1, 24], []
[2025-01-29 23:54:33,264][__main__][INFO] - [1, 25], []
[2025-01-29 23:54:33,281][__main__][INFO] - [1, 26], []
[2025-01-29 23:54:33,297][__main__][INFO] - [1, 27], []
[2025-01-29 23:54:33,314][__main__][INFO] - [1, 28], []
[2025-01-29 23:54:33,331][__main__][INFO] - [1, 29], []
[2025-01-29 23:54:33,347][__main__][INFO] - [1, 30], []
[2025-01-29 23:54:33,363][__main__][INFO] - [1, 31], []
[2025-01-29 23:54:33,379][__main__][INFO] - [1, 32], []
[2025-01-29 23:54:33,395][__main__][INFO] - [1, 33], []
[2025-01-29 23:54:33,410][__main__][INFO] - [1, 34], []
[2025-01-29 23:54:33,426][__main__][INFO] - [1, 35], []
[2025-01-29 23:54:33,456][__main__][INFO] - [2, 10], []
[2025-01-29 23:54:33,473][__main__][INFO] - [2], [10]
[2025-01-29 23:54:33,491][__main__][INFO] - [2, 11], []
[2025-01-29 23:54:33,507][__main__][INFO] - [2], [11]
[2025-01-29 23:54:33,526][__main__][INFO] - [2, 12], []
[2025-01-29 23:54:33,544][__main__][INFO] - [2, 13], []
[2025-01-29 23:54:33,560][__main__][INFO] - [2, 14], []
[2025-01-29 23:54:33,576][__main__][INFO] - [2, 15], []
[2025-01-29 23:54:33,592][__main__][INFO] - [2, 16], []
[2025-01-29 23:54:33,609][__main__][INFO] - [2, 17], []
[2025-01-29 23:54:33,625][__main__][INFO] - [2, 18], []
[2025-01-29 23:54:33,641][__main__][INFO] - [2, 19], []
[2025-01-29 23:54:33,670][__main__][INFO] - [2, 21], []
[2025-01-29 23:54:33,688][__main__][INFO] - [2, 22], []
[2025-01-29 23:54:33,704][__main__][INFO] - [2, 23], []
[2025-01-29 23:54:33,721][__main__][INFO] - [2, 24], []
[2025-01-29 23:54:33,737][__main__][INFO] - [2, 25], []
[2025-01-29 23:54:33,753][__main__][INFO] - [2, 26], []
[2025-01-29 23:54:33,769][__main__][INFO] - [2, 27], []
[2025-01-29 23:54:33,785][__main__][INFO] - [2, 28], []
[2025-01-29 23:54:33,801][__main__][INFO] - [2, 29], []
[2025-01-29 23:54:33,818][__main__][INFO] - [2, 30], []
[2025-01-29 23:54:33,834][__main__][INFO] - [2, 31], []
[2025-01-29 23:54:33,851][__main__][INFO] - [2, 32], []
[2025-01-29 23:54:33,867][__main__][INFO] - [2, 33], []
[2025-01-29 23:54:33,884][__main__][INFO] - [2, 34], []
[2025-01-29 23:54:33,900][__main__][INFO] - [2, 35], []
[2025-01-29 23:54:33,930][__main__][INFO] - [3, 10], []
[2025-01-29 23:54:33,947][__main__][INFO] - [3], [10]
[2025-01-29 23:54:33,965][__main__][INFO] - [3, 11], []
[2025-01-29 23:54:33,981][__main__][INFO] - [3], [11]
[2025-01-29 23:54:34,000][__main__][INFO] - [3, 12], []
[2025-01-29 23:54:34,018][__main__][INFO] - [3, 13], []
[2025-01-29 23:54:34,034][__main__][INFO] - [3, 14], []
[2025-01-29 23:54:34,051][__main__][INFO] - [3, 15], []
[2025-01-29 23:54:34,067][__main__][INFO] - [3, 16], []
[2025-01-29 23:54:34,083][__main__][INFO] - [3, 17], []
[2025-01-29 23:54:34,100][__main__][INFO] - [3, 18], []
[2025-01-29 23:54:34,116][__main__][INFO] - [3, 19], []
[2025-01-29 23:54:34,145][__main__][INFO] - [3, 21], []
[2025-01-29 23:54:34,162][__main__][INFO] - [3, 22], []
[2025-01-29 23:54:34,179][__main__][INFO] - [3, 23], []
[2025-01-29 23:54:34,196][__main__][INFO] - [3, 24], []
[2025-01-29 23:54:34,212][__main__][INFO] - [3, 25], []
[2025-01-29 23:54:34,228][__main__][INFO] - [3, 26], []
[2025-01-29 23:54:34,246][__main__][INFO] - [3, 27], []
[2025-01-29 23:54:34,264][__main__][INFO] - [3, 28], []
[2025-01-29 23:54:34,281][__main__][INFO] - [3, 29], []
[2025-01-29 23:54:34,297][__main__][INFO] - [3, 30], []
[2025-01-29 23:54:34,313][__main__][INFO] - [3, 31], []
[2025-01-29 23:54:34,329][__main__][INFO] - [3, 32], []
[2025-01-29 23:54:34,346][__main__][INFO] - [3, 33], []
[2025-01-29 23:54:34,362][__main__][INFO] - [3, 34], []
[2025-01-29 23:54:34,378][__main__][INFO] - [3, 35], []
[2025-01-29 23:54:34,408][__main__][INFO] - [4, 10], []
[2025-01-29 23:54:34,425][__main__][INFO] - [4], [10]
[2025-01-29 23:54:34,443][__main__][INFO] - [4, 11], []
[2025-01-29 23:54:34,460][__main__][INFO] - [4], [11]
[2025-01-29 23:54:34,478][__main__][INFO] - [4, 12], []
[2025-01-29 23:54:34,495][__main__][INFO] - [4, 13], []
[2025-01-29 23:54:34,512][__main__][INFO] - [4, 14], []
[2025-01-29 23:54:34,528][__main__][INFO] - [4, 15], []
[2025-01-29 23:54:34,545][__main__][INFO] - [4, 16], []
[2025-01-29 23:54:34,561][__main__][INFO] - [4, 17], []
[2025-01-29 23:54:34,577][__main__][INFO] - [4, 18], []
[2025-01-29 23:54:34,593][__main__][INFO] - [4, 19], []
[2025-01-29 23:54:34,622][__main__][INFO] - [4, 21], []
[2025-01-29 23:54:34,640][__main__][INFO] - [4, 22], []
[2025-01-29 23:54:34,657][__main__][INFO] - [4, 23], []
[2025-01-29 23:54:34,674][__main__][INFO] - [4, 24], []
[2025-01-29 23:54:34,690][__main__][INFO] - [4, 25], []
[2025-01-29 23:54:34,706][__main__][INFO] - [4, 26], []
[2025-01-29 23:54:34,722][__main__][INFO] - [4, 27], []
[2025-01-29 23:54:34,738][__main__][INFO] - [4, 28], []
[2025-01-29 23:54:34,755][__main__][INFO] - [4, 29], []
[2025-01-29 23:54:34,771][__main__][INFO] - [4, 30], []
[2025-01-29 23:54:34,788][__main__][INFO] - [4, 31], []
[2025-01-29 23:54:34,804][__main__][INFO] - [4, 32], []
[2025-01-29 23:54:34,820][__main__][INFO] - [4, 33], []
[2025-01-29 23:54:34,836][__main__][INFO] - [4, 34], []
[2025-01-29 23:54:34,851][__main__][INFO] - [4, 35], []
[2025-01-29 23:54:34,880][__main__][INFO] - [5, 10], []
[2025-01-29 23:54:34,897][__main__][INFO] - [5], [10]
[2025-01-29 23:54:34,914][__main__][INFO] - [5, 11], []
[2025-01-29 23:54:34,930][__main__][INFO] - [5], [11]
[2025-01-29 23:54:34,948][__main__][INFO] - [5, 12], []
[2025-01-29 23:54:34,965][__main__][INFO] - [5, 13], []
[2025-01-29 23:54:34,981][__main__][INFO] - [5, 14], []
[2025-01-29 23:54:34,996][__main__][INFO] - [5, 15], []
[2025-01-29 23:54:35,012][__main__][INFO] - [5, 16], []
[2025-01-29 23:54:35,027][__main__][INFO] - [5, 17], []
[2025-01-29 23:54:35,043][__main__][INFO] - [5, 18], []
[2025-01-29 23:54:35,059][__main__][INFO] - [5, 19], []
[2025-01-29 23:54:35,087][__main__][INFO] - [5, 21], []
[2025-01-29 23:54:35,104][__main__][INFO] - [5, 22], []
[2025-01-29 23:54:35,120][__main__][INFO] - [5, 23], []
[2025-01-29 23:54:35,136][__main__][INFO] - [5, 24], []
[2025-01-29 23:54:35,152][__main__][INFO] - [5, 25], []
[2025-01-29 23:54:35,167][__main__][INFO] - [5, 26], []
[2025-01-29 23:54:35,183][__main__][INFO] - [5, 27], []
[2025-01-29 23:54:35,199][__main__][INFO] - [5, 28], []
[2025-01-29 23:54:35,214][__main__][INFO] - [5, 29], []
[2025-01-29 23:54:35,230][__main__][INFO] - [5, 30], []
[2025-01-29 23:54:35,246][__main__][INFO] - [5, 31], []
