[2025-01-29 13:12:14,580][__main__][INFO] - In total, there are 1229 possible subgroups
[2025-01-29 13:12:14,609][__main__][INFO] - [0], []
[2025-01-29 13:12:14,793][__main__][INFO] - [1], []
[2025-01-29 13:12:15,032][__main__][INFO] - [2], []
[2025-01-29 13:12:15,257][__main__][INFO] - [3], []
[2025-01-29 13:12:15,441][__main__][INFO] - [4], []
[2025-01-29 13:12:15,664][__main__][INFO] - [5], []
[2025-01-29 13:12:15,855][__main__][INFO] - [6], []
[2025-01-29 13:12:15,940][__main__][INFO] - [7], []
[2025-01-29 13:12:15,981][__main__][INFO] - [8], []
[2025-01-29 13:12:16,003][__main__][INFO] - [9], []
[2025-01-29 13:12:16,027][__main__][INFO] - [10], []
[2025-01-29 13:12:16,916][__main__][INFO] - [11], []
[2025-01-29 13:12:16,956][__main__][INFO] - [12], []
[2025-01-29 13:12:17,116][__main__][INFO] - [13], []
[2025-01-29 13:12:17,139][__main__][INFO] - [14], []
[2025-01-29 13:12:17,162][__main__][INFO] - [15], []
[2025-01-29 13:12:17,352][__main__][INFO] - [16], []
[2025-01-29 13:12:17,944][__main__][INFO] - [], [16]
[2025-01-29 13:12:18,615][__main__][INFO] - [17], []
[2025-01-29 13:12:18,755][__main__][INFO] - [18], []
[2025-01-29 13:12:19,545][__main__][INFO] - [19], []
[2025-01-29 13:12:19,599][__main__][INFO] - [20], []
[2025-01-29 13:12:19,655][__main__][INFO] - [21], []
[2025-01-29 13:12:19,678][__main__][INFO] - [22], []
[2025-01-29 13:12:19,702][__main__][INFO] - [23], []
[2025-01-29 13:12:19,898][__main__][INFO] - [24], []
[2025-01-29 13:12:19,918][__main__][INFO] - [25], []
[2025-01-29 13:12:19,969][__main__][INFO] - [0, 10], []
[2025-01-29 13:12:20,133][__main__][INFO] - [0, 11], []
[2025-01-29 13:12:20,155][__main__][INFO] - [0, 12], []
[2025-01-29 13:12:20,183][__main__][INFO] - [0, 13], []
[2025-01-29 13:12:20,208][__main__][INFO] - [0, 14], []
[2025-01-29 13:12:20,230][__main__][INFO] - [0, 15], []
[2025-01-29 13:12:20,260][__main__][INFO] - [0, 16], []
[2025-01-29 13:12:20,355][__main__][INFO] - [0], [16]
[2025-01-29 13:12:20,455][__main__][INFO] - [0, 17], []
[2025-01-29 13:12:20,497][__main__][INFO] - [0, 18], []
[2025-01-29 13:12:20,612][__main__][INFO] - [0, 19], []
[2025-01-29 13:12:20,656][__main__][INFO] - [0, 20], []
[2025-01-29 13:12:20,684][__main__][INFO] - [0, 21], []
[2025-01-29 13:12:20,708][__main__][INFO] - [0, 22], []
[2025-01-29 13:12:20,735][__main__][INFO] - [0, 23], []
[2025-01-29 13:12:20,772][__main__][INFO] - [0, 24], []
[2025-01-29 13:12:20,824][__main__][INFO] - [1, 10], []
[2025-01-29 13:12:21,016][__main__][INFO] - [1, 11], []
[2025-01-29 13:12:21,041][__main__][INFO] - [1, 12], []
[2025-01-29 13:12:21,078][__main__][INFO] - [1, 13], []
[2025-01-29 13:12:21,100][__main__][INFO] - [1, 14], []
[2025-01-29 13:12:21,122][__main__][INFO] - [1, 15], []
[2025-01-29 13:12:21,162][__main__][INFO] - [1, 16], []
[2025-01-29 13:12:21,280][__main__][INFO] - [1], [16]
[2025-01-29 13:12:21,408][__main__][INFO] - [1, 17], []
[2025-01-29 13:12:21,454][__main__][INFO] - [1, 18], []
[2025-01-29 13:12:21,597][__main__][INFO] - [1, 19], []
[2025-01-29 13:12:21,627][__main__][INFO] - [1, 20], []
[2025-01-29 13:12:21,655][__main__][INFO] - [1, 21], []
[2025-01-29 13:12:21,677][__main__][INFO] - [1, 22], []
[2025-01-29 13:12:21,703][__main__][INFO] - [1, 23], []
[2025-01-29 13:12:21,756][__main__][INFO] - [1, 24], []
[2025-01-29 13:12:21,812][__main__][INFO] - [2, 10], []
[2025-01-29 13:12:21,964][__main__][INFO] - [2, 11], []
[2025-01-29 13:12:21,990][__main__][INFO] - [2, 12], []
[2025-01-29 13:12:22,036][__main__][INFO] - [2, 13], []
[2025-01-29 13:12:22,058][__main__][INFO] - [2, 14], []
[2025-01-29 13:12:22,081][__main__][INFO] - [2, 15], []
[2025-01-29 13:12:22,135][__main__][INFO] - [2, 16], []
[2025-01-29 13:12:22,243][__main__][INFO] - [2], [16]
[2025-01-29 13:12:22,372][__main__][INFO] - [2, 17], []
[2025-01-29 13:12:22,415][__main__][INFO] - [2, 18], []
[2025-01-29 13:12:22,552][__main__][INFO] - [2, 19], []
[2025-01-29 13:12:22,580][__main__][INFO] - [2, 20], []
[2025-01-29 13:12:22,607][__main__][INFO] - [2, 21], []
[2025-01-29 13:12:22,629][__main__][INFO] - [2, 22], []
[2025-01-29 13:12:22,655][__main__][INFO] - [2, 23], []
[2025-01-29 13:12:22,708][__main__][INFO] - [2, 24], []
[2025-01-29 13:12:22,770][__main__][INFO] - [3, 10], []
[2025-01-29 13:12:22,880][__main__][INFO] - [3, 11], []
[2025-01-29 13:12:22,906][__main__][INFO] - [3, 12], []
[2025-01-29 13:12:22,956][__main__][INFO] - [3, 13], []
[2025-01-29 13:12:22,979][__main__][INFO] - [3, 14], []
[2025-01-29 13:12:23,005][__main__][INFO] - [3, 15], []
[2025-01-29 13:12:23,058][__main__][INFO] - [3, 16], []
[2025-01-29 13:12:23,149][__main__][INFO] - [3], [16]
[2025-01-29 13:12:23,251][__main__][INFO] - [3, 17], []
[2025-01-29 13:12:23,291][__main__][INFO] - [3, 18], []
[2025-01-29 13:12:23,402][__main__][INFO] - [3, 19], []
[2025-01-29 13:12:23,427][__main__][INFO] - [3, 20], []
[2025-01-29 13:12:23,454][__main__][INFO] - [3, 21], []
[2025-01-29 13:12:23,476][__main__][INFO] - [3, 22], []
[2025-01-29 13:12:23,498][__main__][INFO] - [3, 23], []
[2025-01-29 13:12:23,546][__main__][INFO] - [3, 24], []
[2025-01-29 13:12:23,604][__main__][INFO] - [4, 10], []
[2025-01-29 13:12:23,742][__main__][INFO] - [4, 11], []
[2025-01-29 13:12:23,767][__main__][INFO] - [4, 12], []
[2025-01-29 13:12:23,820][__main__][INFO] - [4, 13], []
[2025-01-29 13:12:23,846][__main__][INFO] - [4, 14], []
[2025-01-29 13:12:23,868][__main__][INFO] - [4, 15], []
[2025-01-29 13:12:23,929][__main__][INFO] - [4, 16], []
[2025-01-29 13:12:24,041][__main__][INFO] - [4], [16]
[2025-01-29 13:12:24,165][__main__][INFO] - [4, 17], []
[2025-01-29 13:12:24,205][__main__][INFO] - [4, 18], []
[2025-01-29 13:12:24,354][__main__][INFO] - [4, 19], []
[2025-01-29 13:12:24,379][__main__][INFO] - [4, 20], []
[2025-01-29 13:12:24,407][__main__][INFO] - [4, 21], []
[2025-01-29 13:12:24,429][__main__][INFO] - [4, 22], []
[2025-01-29 13:12:24,455][__main__][INFO] - [4, 23], []
