[2025-01-29 13:39:10,648][__main__][INFO] - In total, there are 47339 possible subgroups
[2025-01-29 13:39:10,677][__main__][INFO] - [0], []
[2025-01-29 13:39:10,842][__main__][INFO] - [1], []
[2025-01-29 13:39:11,102][__main__][INFO] - [2], []
[2025-01-29 13:39:11,362][__main__][INFO] - [3], []
[2025-01-29 13:39:11,576][__main__][INFO] - [4], []
[2025-01-29 13:39:11,868][__main__][INFO] - [5], []
[2025-01-29 13:39:12,125][__main__][INFO] - [6], []
[2025-01-29 13:39:12,222][__main__][INFO] - [7], []
[2025-01-29 13:39:12,264][__main__][INFO] - [8], []
[2025-01-29 13:39:12,289][__main__][INFO] - [9], []
[2025-01-29 13:39:12,310][__main__][INFO] - [10], []
[2025-01-29 13:39:13,092][__main__][INFO] - [], [10]
[2025-01-29 13:39:13,971][__main__][INFO] - [11], []
[2025-01-29 13:39:14,093][__main__][INFO] - [], [11]
[2025-01-29 13:39:15,740][__main__][INFO] - [12], []
[2025-01-29 13:39:16,619][__main__][INFO] - [13], []
[2025-01-29 13:39:16,688][__main__][INFO] - [14], []
[2025-01-29 13:39:16,757][__main__][INFO] - [15], []
[2025-01-29 13:39:16,994][__main__][INFO] - [16], []
[2025-01-29 13:39:17,020][__main__][INFO] - [17], []
[2025-01-29 13:39:17,186][__main__][INFO] - [18], []
[2025-01-29 13:39:17,210][__main__][INFO] - [19], []
[2025-01-29 13:39:17,247][__main__][INFO] - [21], []
[2025-01-29 13:39:18,218][__main__][INFO] - [22], []
[2025-01-29 13:39:18,419][__main__][INFO] - [23], []
[2025-01-29 13:39:18,690][__main__][INFO] - [24], []
[2025-01-29 13:39:18,726][__main__][INFO] - [25], []
[2025-01-29 13:39:18,750][__main__][INFO] - [26], []
[2025-01-29 13:39:18,789][__main__][INFO] - [27], []
[2025-01-29 13:39:18,839][__main__][INFO] - [28], []
[2025-01-29 13:39:18,906][__main__][INFO] - [29], []
[2025-01-29 13:39:18,990][__main__][INFO] - [30], []
[2025-01-29 13:39:19,073][__main__][INFO] - [31], []
[2025-01-29 13:39:19,153][__main__][INFO] - [32], []
[2025-01-29 13:39:19,236][__main__][INFO] - [33], []
[2025-01-29 13:39:19,315][__main__][INFO] - [34], []
[2025-01-29 13:39:19,384][__main__][INFO] - [35], []
[2025-01-29 13:39:20,047][__main__][INFO] - [0, 10], []
[2025-01-29 13:39:20,135][__main__][INFO] - [0], [10]
[2025-01-29 13:39:20,222][__main__][INFO] - [0, 11], []
[2025-01-29 13:39:20,246][__main__][INFO] - [0], [11]
[2025-01-29 13:39:20,402][__main__][INFO] - [0, 12], []
[2025-01-29 13:39:20,500][__main__][INFO] - [0, 13], []
[2025-01-29 13:39:20,525][__main__][INFO] - [0, 14], []
[2025-01-29 13:39:20,552][__main__][INFO] - [0, 15], []
[2025-01-29 13:39:20,587][__main__][INFO] - [0, 16], []
[2025-01-29 13:39:20,607][__main__][INFO] - [0, 17], []
[2025-01-29 13:39:20,646][__main__][INFO] - [0, 18], []
[2025-01-29 13:39:20,666][__main__][INFO] - [0, 19], []
[2025-01-29 13:39:20,701][__main__][INFO] - [0, 21], []
[2025-01-29 13:39:20,835][__main__][INFO] - [0, 22], []
[2025-01-29 13:39:20,864][__main__][INFO] - [0, 23], []
[2025-01-29 13:39:20,889][__main__][INFO] - [0, 24], []
[2025-01-29 13:39:20,910][__main__][INFO] - [0, 25], []
[2025-01-29 13:39:20,933][__main__][INFO] - [0, 26], []
[2025-01-29 13:39:20,963][__main__][INFO] - [0, 27], []
[2025-01-29 13:39:20,988][__main__][INFO] - [0, 28], []
[2025-01-29 13:39:21,015][__main__][INFO] - [0, 29], []
[2025-01-29 13:39:21,045][__main__][INFO] - [0, 30], []
[2025-01-29 13:39:21,073][__main__][INFO] - [0, 31], []
[2025-01-29 13:39:21,100][__main__][INFO] - [0, 32], []
[2025-01-29 13:39:21,127][__main__][INFO] - [0, 33], []
[2025-01-29 13:39:21,152][__main__][INFO] - [0, 34], []
[2025-01-29 13:39:21,177][__main__][INFO] - [0, 35], []
[2025-01-29 13:39:21,241][__main__][INFO] - [1, 10], []
[2025-01-29 13:39:21,366][__main__][INFO] - [1], [10]
[2025-01-29 13:39:21,508][__main__][INFO] - [1, 11], []
[2025-01-29 13:39:21,534][__main__][INFO] - [1], [11]
[2025-01-29 13:39:21,787][__main__][INFO] - [1, 12], []
[2025-01-29 13:39:21,939][__main__][INFO] - [1, 13], []
[2025-01-29 13:39:21,967][__main__][INFO] - [1, 14], []
[2025-01-29 13:39:21,996][__main__][INFO] - [1, 15], []
