[2025-01-29 13:10:19,733][__main__][INFO] - In total, there are 1229 possible subgroups
[2025-01-29 13:10:19,762][__main__][INFO] - [0], []
[2025-01-29 13:10:19,943][__main__][INFO] - [1], []
[2025-01-29 13:10:20,172][__main__][INFO] - [2], []
[2025-01-29 13:10:20,392][__main__][INFO] - [3], []
[2025-01-29 13:10:20,568][__main__][INFO] - [4], []
[2025-01-29 13:10:20,778][__main__][INFO] - [5], []
[2025-01-29 13:10:20,964][__main__][INFO] - [6], []
[2025-01-29 13:10:21,046][__main__][INFO] - [7], []
[2025-01-29 13:10:21,082][__main__][INFO] - [8], []
[2025-01-29 13:10:21,103][__main__][INFO] - [9], []
[2025-01-29 13:10:21,121][__main__][INFO] - [10], []
[2025-01-29 13:10:21,992][__main__][INFO] - [11], []
[2025-01-29 13:10:22,031][__main__][INFO] - [12], []
[2025-01-29 13:10:22,186][__main__][INFO] - [13], []
[2025-01-29 13:10:22,208][__main__][INFO] - [14], []
[2025-01-29 13:10:22,228][__main__][INFO] - [15], []
[2025-01-29 13:10:22,412][__main__][INFO] - [16], []
[2025-01-29 13:10:22,982][__main__][INFO] - [], [16]
[2025-01-29 13:10:23,629][__main__][INFO] - [17], []
[2025-01-29 13:10:23,762][__main__][INFO] - [18], []
[2025-01-29 13:10:24,520][__main__][INFO] - [19], []
[2025-01-29 13:10:24,573][__main__][INFO] - [20], []
[2025-01-29 13:10:24,627][__main__][INFO] - [21], []
[2025-01-29 13:10:24,648][__main__][INFO] - [22], []
[2025-01-29 13:10:24,668][__main__][INFO] - [23], []
[2025-01-29 13:10:24,853][__main__][INFO] - [24], []
[2025-01-29 13:10:24,872][__main__][INFO] - [25], []
[2025-01-29 13:10:24,922][__main__][INFO] - [0, 10], []
[2025-01-29 13:10:25,081][__main__][INFO] - [0, 11], []
[2025-01-29 13:10:25,103][__main__][INFO] - [0, 12], []
[2025-01-29 13:10:25,129][__main__][INFO] - [0, 13], []
[2025-01-29 13:10:25,150][__main__][INFO] - [0, 14], []
[2025-01-29 13:10:25,170][__main__][INFO] - [0, 15], []
[2025-01-29 13:10:25,198][__main__][INFO] - [0, 16], []
[2025-01-29 13:10:25,291][__main__][INFO] - [0], [16]
[2025-01-29 13:10:25,388][__main__][INFO] - [0, 17], []
[2025-01-29 13:10:25,428][__main__][INFO] - [0, 18], []
[2025-01-29 13:10:25,537][__main__][INFO] - [0, 19], []
[2025-01-29 13:10:25,566][__main__][INFO] - [0, 20], []
[2025-01-29 13:10:25,591][__main__][INFO] - [0, 21], []
[2025-01-29 13:10:25,612][__main__][INFO] - [0, 22], []
[2025-01-29 13:10:25,635][__main__][INFO] - [0, 23], []
[2025-01-29 13:10:25,670][__main__][INFO] - [0, 24], []
[2025-01-29 13:10:25,719][__main__][INFO] - [1, 10], []
[2025-01-29 13:10:25,904][__main__][INFO] - [1, 11], []
[2025-01-29 13:10:25,928][__main__][INFO] - [1, 12], []
[2025-01-29 13:10:25,963][__main__][INFO] - [1, 13], []
[2025-01-29 13:10:25,984][__main__][INFO] - [1, 14], []
[2025-01-29 13:10:26,004][__main__][INFO] - [1, 15], []
[2025-01-29 13:10:26,042][__main__][INFO] - [1, 16], []
[2025-01-29 13:10:26,156][__main__][INFO] - [1], [16]
[2025-01-29 13:10:26,278][__main__][INFO] - [1, 17], []
[2025-01-29 13:10:26,322][__main__][INFO] - [1, 18], []
[2025-01-29 13:10:26,461][__main__][INFO] - [1, 19], []
[2025-01-29 13:10:26,489][__main__][INFO] - [1, 20], []
[2025-01-29 13:10:26,516][__main__][INFO] - [1, 21], []
[2025-01-29 13:10:26,537][__main__][INFO] - [1, 22], []
[2025-01-29 13:10:26,558][__main__][INFO] - [1, 23], []
[2025-01-29 13:10:26,605][__main__][INFO] - [1, 24], []
[2025-01-29 13:10:26,654][__main__][INFO] - [2, 10], []
[2025-01-29 13:10:26,801][__main__][INFO] - [2, 11], []
[2025-01-29 13:10:26,825][__main__][INFO] - [2, 12], []
[2025-01-29 13:10:26,869][__main__][INFO] - [2, 13], []
[2025-01-29 13:10:26,890][__main__][INFO] - [2, 14], []
[2025-01-29 13:10:26,910][__main__][INFO] - [2, 15], []
[2025-01-29 13:10:26,959][__main__][INFO] - [2, 16], []
[2025-01-29 13:10:27,063][__main__][INFO] - [2], [16]
[2025-01-29 13:10:27,182][__main__][INFO] - [2, 17], []
[2025-01-29 13:10:27,223][__main__][INFO] - [2, 18], []
[2025-01-29 13:10:27,357][__main__][INFO] - [2, 19], []
[2025-01-29 13:10:27,383][__main__][INFO] - [2, 20], []
[2025-01-29 13:10:27,408][__main__][INFO] - [2, 21], []
[2025-01-29 13:10:27,429][__main__][INFO] - [2, 22], []
[2025-01-29 13:10:27,450][__main__][INFO] - [2, 23], []
[2025-01-29 13:10:27,500][__main__][INFO] - [2, 24], []
[2025-01-29 13:10:27,549][__main__][INFO] - [3, 10], []
[2025-01-29 13:10:27,653][__main__][INFO] - [3, 11], []
[2025-01-29 13:10:27,677][__main__][INFO] - [3, 12], []
[2025-01-29 13:10:27,721][__main__][INFO] - [3, 13], []
[2025-01-29 13:10:27,742][__main__][INFO] - [3, 14], []
[2025-01-29 13:10:27,762][__main__][INFO] - [3, 15], []
[2025-01-29 13:10:27,812][__main__][INFO] - [3, 16], []
[2025-01-29 13:10:27,898][__main__][INFO] - [3], [16]
[2025-01-29 13:10:27,995][__main__][INFO] - [3, 17], []
[2025-01-29 13:10:28,030][__main__][INFO] - [3, 18], []
[2025-01-29 13:10:28,137][__main__][INFO] - [3, 19], []
[2025-01-29 13:10:28,161][__main__][INFO] - [3, 20], []
[2025-01-29 13:10:28,186][__main__][INFO] - [3, 21], []
[2025-01-29 13:10:28,207][__main__][INFO] - [3, 22], []
[2025-01-29 13:10:28,227][__main__][INFO] - [3, 23], []
[2025-01-29 13:10:28,272][__main__][INFO] - [3, 24], []
[2025-01-29 13:10:28,321][__main__][INFO] - [4, 10], []
[2025-01-29 13:10:28,451][__main__][INFO] - [4, 11], []
[2025-01-29 13:10:28,475][__main__][INFO] - [4, 12], []
[2025-01-29 13:10:28,523][__main__][INFO] - [4, 13], []
[2025-01-29 13:10:28,544][__main__][INFO] - [4, 14], []
[2025-01-29 13:10:28,565][__main__][INFO] - [4, 15], []
[2025-01-29 13:10:28,622][__main__][INFO] - [4, 16], []
[2025-01-29 13:10:28,727][__main__][INFO] - [4], [16]
[2025-01-29 13:10:28,842][__main__][INFO] - [4, 17], []
[2025-01-29 13:10:28,880][__main__][INFO] - [4, 18], []
[2025-01-29 13:10:29,017][__main__][INFO] - [4, 19], []
[2025-01-29 13:10:29,041][__main__][INFO] - [4, 20], []
[2025-01-29 13:10:29,067][__main__][INFO] - [4, 21], []
[2025-01-29 13:10:29,088][__main__][INFO] - [4, 22], []
[2025-01-29 13:10:29,108][__main__][INFO] - [4, 23], []
[2025-01-29 13:10:29,156][__main__][INFO] - [4, 24], []
[2025-01-29 13:10:29,206][__main__][INFO] - [5, 10], []
[2025-01-29 13:10:29,332][__main__][INFO] - [5, 11], []
[2025-01-29 13:10:29,357][__main__][INFO] - [5, 12], []
[2025-01-29 13:10:29,399][__main__][INFO] - [5, 13], []
[2025-01-29 13:10:29,421][__main__][INFO] - [5, 14], []
[2025-01-29 13:10:29,441][__main__][INFO] - [5, 15], []
[2025-01-29 13:10:29,485][__main__][INFO] - [5, 16], []
[2025-01-29 13:10:29,579][__main__][INFO] - [5], [16]
[2025-01-29 13:10:29,683][__main__][INFO] - [5, 17], []
[2025-01-29 13:10:29,713][__main__][INFO] - [5, 18], []
[2025-01-29 13:10:29,845][__main__][INFO] - [5, 19], []
[2025-01-29 13:10:29,868][__main__][INFO] - [5, 20], []
[2025-01-29 13:10:29,894][__main__][INFO] - [5, 21], []
[2025-01-29 13:10:29,915][__main__][INFO] - [5, 22], []
[2025-01-29 13:10:29,935][__main__][INFO] - [5, 23], []
[2025-01-29 13:10:29,977][__main__][INFO] - [5, 24], []
[2025-01-29 13:10:30,027][__main__][INFO] - [6, 10], []
[2025-01-29 13:10:30,091][__main__][INFO] - [6, 11], []
[2025-01-29 13:10:30,114][__main__][INFO] - [6, 12], []
[2025-01-29 13:10:30,142][__main__][INFO] - [6, 13], []
[2025-01-29 13:10:30,162][__main__][INFO] - [6, 14], []
[2025-01-29 13:10:30,183][__main__][INFO] - [6, 15], []
[2025-01-29 13:10:30,209][__main__][INFO] - [6, 16], []
[2025-01-29 13:10:30,256][__main__][INFO] - [6], [16]
[2025-01-29 13:10:30,308][__main__][INFO] - [6, 17], []
[2025-01-29 13:10:30,331][__main__][INFO] - [6, 18], []
[2025-01-29 13:10:30,396][__main__][INFO] - [6, 19], []
[2025-01-29 13:10:30,418][__main__][INFO] - [6, 20], []
[2025-01-29 13:10:30,440][__main__][INFO] - [6, 21], []
[2025-01-29 13:10:30,460][__main__][INFO] - [6, 22], []
[2025-01-29 13:10:30,481][__main__][INFO] - [6, 23], []
[2025-01-29 13:10:30,509][__main__][INFO] - [6, 24], []
[2025-01-29 13:10:30,558][__main__][INFO] - [7, 10], []
[2025-01-29 13:10:30,592][__main__][INFO] - [7, 11], []
[2025-01-29 13:10:30,612][__main__][INFO] - [7, 12], []
[2025-01-29 13:10:30,637][__main__][INFO] - [7, 13], []
[2025-01-29 13:10:30,663][__main__][INFO] - [7, 14], []
[2025-01-29 13:10:30,683][__main__][INFO] - [7, 15], []
[2025-01-29 13:10:30,705][__main__][INFO] - [7, 16], []
[2025-01-29 13:10:30,732][__main__][INFO] - [7], [16]
[2025-01-29 13:10:30,762][__main__][INFO] - [7, 17], []
[2025-01-29 13:10:30,783][__main__][INFO] - [7, 18], []
[2025-01-29 13:10:30,817][__main__][INFO] - [7, 19], []
