[2025-01-29 13:39:11,617][__main__][INFO] - In total, there are 47339 possible subgroups
[2025-01-29 13:39:11,648][__main__][INFO] - [0], []
[2025-01-29 13:39:11,848][__main__][INFO] - [1], []
[2025-01-29 13:39:12,158][__main__][INFO] - [2], []
[2025-01-29 13:39:12,471][__main__][INFO] - [3], []
[2025-01-29 13:39:12,733][__main__][INFO] - [4], []
[2025-01-29 13:39:13,050][__main__][INFO] - [5], []
[2025-01-29 13:39:13,325][__main__][INFO] - [6], []
[2025-01-29 13:39:13,443][__main__][INFO] - [7], []
[2025-01-29 13:39:13,494][__main__][INFO] - [8], []
[2025-01-29 13:39:13,523][__main__][INFO] - [9], []
[2025-01-29 13:39:13,546][__main__][INFO] - [10], []
[2025-01-29 13:39:14,917][__main__][INFO] - [], [10]
[2025-01-29 13:39:16,332][__main__][INFO] - [11], []
[2025-01-29 13:39:16,572][__main__][INFO] - [], [11]
[2025-01-29 13:39:19,342][__main__][INFO] - [12], []
[2025-01-29 13:39:20,427][__main__][INFO] - [13], []
[2025-01-29 13:39:20,516][__main__][INFO] - [14], []
[2025-01-29 13:39:20,608][__main__][INFO] - [15], []
[2025-01-29 13:39:20,911][__main__][INFO] - [16], []
[2025-01-29 13:39:20,944][__main__][INFO] - [17], []
[2025-01-29 13:39:21,167][__main__][INFO] - [18], []
[2025-01-29 13:39:21,196][__main__][INFO] - [19], []
[2025-01-29 13:39:21,240][__main__][INFO] - [21], []
[2025-01-29 13:39:22,566][__main__][INFO] - [22], []
[2025-01-29 13:39:22,865][__main__][INFO] - [23], []
[2025-01-29 13:39:23,253][__main__][INFO] - [24], []
[2025-01-29 13:39:23,302][__main__][INFO] - [25], []
[2025-01-29 13:39:23,330][__main__][INFO] - [26], []
[2025-01-29 13:39:23,379][__main__][INFO] - [27], []
[2025-01-29 13:39:23,442][__main__][INFO] - [28], []
[2025-01-29 13:39:23,527][__main__][INFO] - [29], []
[2025-01-29 13:39:23,632][__main__][INFO] - [30], []
[2025-01-29 13:39:23,738][__main__][INFO] - [31], []
[2025-01-29 13:39:23,838][__main__][INFO] - [32], []
[2025-01-29 13:39:23,939][__main__][INFO] - [33], []
[2025-01-29 13:39:24,037][__main__][INFO] - [34], []
[2025-01-29 13:39:24,124][__main__][INFO] - [35], []
[2025-01-29 13:39:24,914][__main__][INFO] - [0, 10], []
[2025-01-29 13:39:25,018][__main__][INFO] - [0], [10]
[2025-01-29 13:39:25,122][__main__][INFO] - [0, 11], []
[2025-01-29 13:39:25,152][__main__][INFO] - [0], [11]
[2025-01-29 13:39:25,338][__main__][INFO] - [0, 12], []
[2025-01-29 13:39:25,453][__main__][INFO] - [0, 13], []
[2025-01-29 13:39:25,479][__main__][INFO] - [0, 14], []
[2025-01-29 13:39:25,510][__main__][INFO] - [0, 15], []
[2025-01-29 13:39:25,552][__main__][INFO] - [0, 16], []
[2025-01-29 13:39:25,575][__main__][INFO] - [0, 17], []
[2025-01-29 13:39:25,622][__main__][INFO] - [0, 18], []
[2025-01-29 13:39:25,645][__main__][INFO] - [0, 19], []
[2025-01-29 13:39:25,684][__main__][INFO] - [0, 21], []
[2025-01-29 13:39:25,842][__main__][INFO] - [0, 22], []
[2025-01-29 13:39:25,879][__main__][INFO] - [0, 23], []
[2025-01-29 13:39:25,906][__main__][INFO] - [0, 24], []
[2025-01-29 13:39:25,930][__main__][INFO] - [0, 25], []
[2025-01-29 13:39:25,956][__main__][INFO] - [0, 26], []
[2025-01-29 13:39:25,989][__main__][INFO] - [0, 27], []
[2025-01-29 13:39:26,017][__main__][INFO] - [0, 28], []
[2025-01-29 13:39:26,047][__main__][INFO] - [0, 29], []
[2025-01-29 13:39:26,080][__main__][INFO] - [0, 30], []
[2025-01-29 13:39:26,112][__main__][INFO] - [0, 31], []
[2025-01-29 13:39:26,143][__main__][INFO] - [0, 32], []
[2025-01-29 13:39:26,172][__main__][INFO] - [0, 33], []
[2025-01-29 13:39:26,200][__main__][INFO] - [0, 34], []
[2025-01-29 13:39:26,227][__main__][INFO] - [0, 35], []
[2025-01-29 13:39:26,299][__main__][INFO] - [1, 10], []
[2025-01-29 13:39:26,448][__main__][INFO] - [1], [10]
[2025-01-29 13:39:26,613][__main__][INFO] - [1, 11], []
[2025-01-29 13:39:26,645][__main__][INFO] - [1], [11]
[2025-01-29 13:39:26,943][__main__][INFO] - [1, 12], []
[2025-01-29 13:39:27,121][__main__][INFO] - [1, 13], []
[2025-01-29 13:39:27,151][__main__][INFO] - [1, 14], []
[2025-01-29 13:39:27,184][__main__][INFO] - [1, 15], []
